name,email,cid,website_url,phone_number,municipio_id,adr_street_address,adr_postal_code,adr_locality,adr_region,adr_country_name
Boca Bistro,,uittxbzgrdjnrbwzctcmrtfakjfuzx,,747 76 63 53,1356,"C. la Carrera, 13",29610,Ojén,Málaga,España
VIKINGO TABERNA GOURMET,,rnipcgbgvocdvrvbydzksfnjmdmiku,,626 80 56 55,1356,"Plaza Andalucía, 4",29610,Ojén,Málaga,España
Meson Restaurante la Casa Nueva,,vdkfbazlqpqpfkbuvspgrnkfimshrk,,616 25 98 24,1356,A-7103,29610,Ojén,Málaga,España
Restaurante Bar Castillo Solis,,svghbbdxckqkeztomcuyolqedvhdoh,,952 88 17 10,1356,"C. Carretera, 41",29610,Ojén,Málaga,España
Restaurante El Túnel,,fcmgiegachkdoylmcaqyqedpwrvyhk,,662 38 83 87,1356,"C. la Carrera, 44",29610,Ojén,Málaga,España
Antico Mulino Pizzeria,,tdqtusbzshucigjhgupwihatpepqpp,https://www.facebook.com/anticomulinopizzeria/,675 29 55 91,1356,"C. la Carrera, 15",29610,Ojén,Málaga,España
Taberna el portero,,xeriqfckgpzbhclnrerptpxbpbyvoa,,610 86 62 55,1356,"Plaza de Andalucia, 13",29610,Ojén,Málaga,España
Restaurante Gau-txori,,vjhgebtjbzwdcgbjlcpcbnmfpkpnaj,,952 88 11 07,1356,P.º del Castillo,29610,Ojén,Málaga,España
Venta Restaurante El Pelegrino,,pbfrorxllmkrezlsphdtkciimyehzr,,952 88 17 64,1356,A-7103,29610,Ojén,Málaga,España
Sol y Luna,,osrxloamovlnsduqvrecomzlnitzgg,,633 86 57 78,1356,"C. la Carrera, 12",29610,Ojén,Málaga,España
SABOR DE CASA,,yvaeokhoikmeqnmysywildynpasycs,,611 38 31 00,1356,"C. la Carrera, 7",29610,Ojén,Málaga,España
Restaurante Pica’s,,qxjjibmiputtqhvznmemolhrecrnwm,,,1356,"A-7103, 36",29610,Ojén,Málaga,España
Bar restaurante Lorente Rock,,socwfsefcrrillklizamtrurgmpnpm,,664 47 69 24,1356,"C. Carretera, 32",29610,Ojén,Málaga,España
Al Andalus,,mciigngkuivcmhuoknzeauuvwocvqf,,,1356,C. la Fuente,29610,Ojén,Málaga,España
Cervecería Casa Madrile,,htzsijeqmvwjbkwjzxjnjpeeckpskf,,667 01 21 13,2222,"Av. Extremadura, 51",6210,Torremejía,Badajoz,España
CAFÉ BAR RESTAURANTE LAS VIRTUDES,,seedsiilfczgowkngwidtevecsbivn,,664 62 67 72,2222,"Av. Extremadura, 61",6210,Torremejía,Badajoz,España
Terraza Bar Piscina Municipal,,llpahzwnssdpauaffcletnfryrvtzh,,648 10 04 68,2222,"Av. Extremadura, 71",6210,Torremejía,Badajoz,España
Café Bar La Niña,,rjjlizdaprpjmeevcxpiulanwxhzgt,https://www.facebook.com/profile.php?id=61555360313314,824 91 99 22,2222,"Av. Extremadura, 62",6210,Torremejía,Badajoz,España
Gastro Bar El Pendingue,,zahpyqlsmbcivewztwtjuoevgskssa,,,2222,"Av. Extremadura, 41",6210,Torremejía,Badajoz,España
Cafe bar El Paraíso,,fmnvpyqbaecdcvswlnikwvyumyqien,,,2222,"C. Hernán Cortés, 6",6210,Torremejía,Badajoz,España
Bar Casablanca,,vjsxhuxuedvnkslexrsdpahmzvawhn,,,2222,"Av. Extremadura, 35",6210,Torremejía,Badajoz,España
Bar DELUXE COPAS,,bbqpfsczqhforspptbxqotkdpajenm,,,2222,"C. Miguel Hernández, 10",6210,Torremejía,Badajoz,España
Restaurante Casablanca Cafetería Trypp,,spfiuzexlekxraotwlzxvihywuqlvz,,,2222,"C. Miguel Hernández, 4",6210,Torremejía,Badajoz,España
SALA GABBANA,Laramihaela1983@gmail.com,xqwhmfzukatkzuomharlbwwwufvfek,https://www.facebook.com/Sala-GabbanaRuta-de-la-Plata-1605364396451640/,695 90 80 76,2222,"C. Miguel Hernández, 16",6210,Torremejía,Badajoz,España
Cruzcampo Desayunos Tapas Raciones,,klvldalpoaqxlfdakfghroneqoeowi,,,2222,C. Miguel Hernández,6210,Torremejía,Badajoz,España
La Tahona de María,,zgxezfxvfqkslhivdaplzbqfnoqxda,,,2222,"C. Almendralejo, 2",6210,Torremejía,Badajoz,España
Hogar de mayores,,jsjeskuezmazbxcypxwjheqsphafsz,,,2222,Pl. España,6210,Torremejía,Badajoz,España
La Bodeguita Café Bar,,jqslaxcllparaecszlegauoekvlabt,,,2222,"C. Miguel Hernández, 8",6210,Torremejía,Badajoz,España
Bar - Restaurante Valle de Iguña,,ztfkpoljibxlufkkzfpoatohbifgst,,644 28 25 21,2480,"N-611, km163",39450,Arenas de Iguña,Cantabria,España
Bar El Rincón,,qwaycrsxvfjsioedzckbayihulazpd,,622 21 03 47,2480,"Av. General, 56",39450,Arenas de Iguña,Cantabria,España
Area De Servicio Arenas De Iguña,,qkagenujvsaommffilfbvzgqmgthwk,,,2480,,39450,Arenas de Iguña,Cantabria,España
ElChirin,,pgmvkkcdnfyhdqbjsergmjzkddfvfi,,633 38 96 38,2480,"C. Collantes, 65A",39450,Las Fraguas,Cantabria,España
