Name,Population
Abengibre,768
Alatoz,503
Albacete†,173202
Albatana,660
Alborea,680
Alcadozo,649
Alcalá del Júcar,1114
Alcaraz,1305
Almansa,24246
Alpera,2288
Aýna,611
Balazote,2412
El Ballestero,414
Balsa de Ves,136
Barrax,1877
Bienservida,568
Bogarra,746
Bonete,980
El Bonillo,2646
Carcelén,490
Casas de Juan Núñez,1350
Casas de Lázaro,326
Casas de Ves,561
Casas-Ibáñez,4575
Caudete,10171
Cenizate,1163
Chinchilla de Monte-Aragón,4606
Corral-Rubio,302
Cotillas,130
Elche de la Sierra,3570
Férez,619
Fuensanta,297
Fuente-Álamo,2438
Fuentealbilla,1828
La Gineta,2601
Golosalvo,92
Hellín,30499
La Herrera,314
Higueruela,1150
Hoya-Gonzalo,624
Jorquera,345
Letur,928
Lezuza,1302
Liétor,1077
Madrigueras,4680
Mahora,1496
Masegoso,139
Minaya,1455
Molinicos,829
Montalvos,89
Montealegre del Castillo,2041
Motilleja,665
Munera,3409
Navas de Jorquera,516
Nerpio,1175
Ontur,1917
Ossa de Montiel,2213
Paterna del Madera,353
Peñas de San Pedro,1458
Peñascosa,331
Pétrola,670
Povedilla,396
Pozo Cañada,2713
Pozohondo,1553
Pozo-Lorente,390
Pozuelo,469
La Recueja,221
Riópar,1323
Robledo,396
La Roda,15632
Salobre,435
San Pedro,1187
Socovos,1704
Tarazona de la Mancha,6156
Tobarra,7819
Valdeganga,1968
Vianos,322
Villa de Ves,61
Villalgordo del Júcar,1110
Villamalea,3953
Villapalacios,556
Villarrobledo,25090
Villatoya,114
Villavaliente,209
Villaverde de Guadalimar,311
Viveros,308
Yeste,2504
