Name,Population
Agost,5067
Agres,619
Aguas de Busot,1146
Albatera,13092
Alcalalí,1397
Alcolecha,188
Alcocer de Planes,259
Alcoy,59493
Alfafara,419
Alfaz del Pi,20518
Algorfa,3635
Algueña,1395
Alicante,349282
Almoradí,21874
Almudaina,110
Alquería de Aznar,511
Altea,23820
Aspe,21473
Adsubia,608
Balones,119
Bañeres,7255
Benasau,173
Benejama,1697
Benejúzar,5625
Benferri,2023
Beniarbeig,2353
Beniardá,252
Beniarrés,1089
Benidoleig,1218
Benidorm,72342
Benifallim,111
Benifato,140
Benichembla,537
Benijófar,3473
Benilloba,737
Benillup,105
Benimantell,534
Benimarfull,422
Benimasot,105
Benimeli,455
Benisa,12279
Benitachell,4858
Biar,3607
Bigastro,7361
Bolulla,440
Busot,3534
Callosa de Segura,19484
Callosa de Ensarriá,7708
Calpe,25854
Campello,29993
Campo de Mirra,442
Cañada,1210
Castalla,11365
Castell de Castells,445
Guadalest,274
Catral,9275
Cocentaina,11309
Confrides,297
Cox,7513
Crevillente,30191
Daya Nueva,1767
Daya Vieja,667
Denia,45622
Dolores,7919
Elche,238293
Elda,53034
Facheca,101
Famorca,45
Finestrat,8836
Formentera del Segura,4618
Gayanes,555
Gata de Gorgos,6515
Gorga,284
Granja de Rocamora,2686
Guardamar del Segura,17328
Hondón de las Nieves,2698
Hondón de los Frailes,1311
Ibi,23920
Jacarilla,2108
Jávea,29760
Jijona,7032
Lorcha,587
Llíber,946
Millena,254
Monforte del Cid,8777
Monóvar,12542
Los Montesinos,5477
Murla,575
Muro de Alcoy,9253
Muchamiel,27078
Novelda,25771
La Nucía,18970
Ondara,7308
Onil,7763
Orba,2379
Orihuela,82449
Orcheta,840
Parcent,1003
Pedreguer,8558
Pego,10485
Penáguila,313
Petrel,33914
Pilar de la Horadada,23428
Pinoso,8281
Planes,699
Els Poblets,2763
Polop,5339
Cuatretondeta,136
Rafal,4800
Ráfol de Almunia,721
Redován,8183
Relleu,1248
Rojales,17451
La Romana,2632
Sagra,442
Salinas,1733
San Fulgencio,9443
San Isidro,2208
San Miguel de Salinas,6798
San Vicente del Raspeig,59928
Sanet y Negrals,737
San Juan de Alicante,25275
Santa Pola,37816
Sax,10072
Sella,607
Senija,670
Tárbena,630
Teulada,12515
Tibi,1808
Tollos,40
Tormos,339
Torremanzanas,714
Torrevieja,89290
Valle de Alcalá,174
Vall de Ebo,230
Vall de Gallinera,581
Vall de Laguart,873
Vergel,5101
Villajoyosa,36093
Villena,34144
Jalón,2964
