Name,Population
Abla,1277
Abrucena,1234
Adra,25432
Albanchez,681
Alboloduy,583
Albox,12510
Alcolea,831
Alcóntar,556
Alcudia de Monteagud,129
Alhabia,732
Alhama de Almería,3904
Alicún,214
Almería†,201946
Almócita,213
Alsodux,137
Antas,3439
Arboleas,4296
Armuña de Almanzora,330
Bacares,239
Balanegra,3027
Bayárcal,300
Bayarque,223
Bédar,976
Beires,148
Benahadux,4815
Benitagla,59
Benizalón,250
Bentarique,228
Berja,12884
Canjáyar,1130
Cantoria,3568
Carboneras,8456
Castro de Filabres,102
Chercos,310
Chirivel,1579
Cóbdar,194
Cuevas del Almanzora,15116
Dalías,4158
El Ejido,89462
Enix,603
Felix,770
Fines,2275
Fiñana,2018
Fondón,1133
Gádor,3074
Los Gallardos,3078
Garrucha,10525
Gérgal,1196
Huécija,536
Huércal de Almería,18698
Huércal-Overa,20575
Íllar,467
Instinción,502
Laroya,211
Láujar de Andarax,1655
Líjar,395
Lubrín,1453
Lucainena de las Torres,728
Lúcar,828
Macael,5478
María,1198
Mojácar,7455
La Mojonera,8546
Nacimiento,504
Níjar,33348
Ohanes,549
Olula de Castro,182
Olula del Río,6429
Oria,2233
Padules,439
Partaloa,889
Paterna del Río,396
Pechina,4510
Pulpí,12123
Purchena,1535
Rágol,299
Rioja,1612
Roquetas de Mar,108348
Santa Cruz de Marchena,244
Santa Fe de Mondújar,505
Senés,281
Serón,2150
Sierro,378
Somontín,526
Sorbas,2504
Suflí,229
Tabernas,4077
Taberno,962
Tahal,374
Terque,390
Tíjola,3543
Las Tres Villas,575
Turre,4341
Turrillas,263
Uleila del Campo,821
Urrácal,357
Velefique,246
Vélez-Blanco,1952
Vélez-Rubio,6577
Vera,19416
Viator,6334
Vícar,28505
Zurgena,2953
