Name,Population
Acedera,897
Aceuchal,5344
Ahillones,1158
Alange,2038
La Albuera,1799
Alburquerque,5622
Alconchel,2042
Alconera,737
Aljucén,260
Almendral,1404
Almendralejo,30784
Arroyo de San Serván,3922
Atalaya,353
Azuaga,8580
Badajoz,136851
Barcarrota,3616
Baterno,389
Benquerencia de la Serena,980
Berlanga,2637
Bienvenida,2350
Bodonal de la Sierra,1208
Burguillos del Cerro,3243
Cabeza del Buey,5957
Cabeza la Vaca,1610
Calamonte,6136
Calera de León,1093
Calzadilla de los Barros,855
Campanario,5723
Campillo de Llerena,1731
Capilla,212
Carmonita,639
El Carrascalejo,75
Casas de Don Pedro,1737
Casas de Reina,228
Castilblanco,1293
Castuera,6989
La Codosera,2309
Cordobilla de Lácara,1026
La Coronada,2409
Corte de Peleas,1297
Cristina,548
Cheles,1332
Don Álvaro,668
Don Benito,32023
Entrín Bajo,639
Esparragalejo,1532
Esparragosa de la Serena,1129
Esparragosa de Lares,1107
Feria,1435
Fregenal de la Sierra,5295
Fuenlabrada de los Montes,2046
Fuente de Cantos,5059
Fuente del Arco,776
Fuente del Maestre,6819
Fuentes de León,2718
Garbayuela,547
Garlitos,774
La Garrovilla,2599
Granja de Torrehermosa,2533
Guadiana del Caudillo,2406
Guareña,7383
La Haba,1471
Helechosa de los Montes,764
Herrera del Duque,3836
Higuera de la Serena,1208
Higuera de Llerena,422
Higuera de Vargas,2194
Higuera la Real,2551
Hinojosa del Valle,593
Hornachos,3832
Jerez de los Caballeros,9613
La Lapa,315
Lobón,2666
Llera,955
Llerena,5549
Magacela,666
Maguilla,1120
Malcocinado,533
Malpartida de la Serena,765
Manchita,754
Medellín,2378
Medina de las Torres,1494
Mengabril,450
Mérida,50780
Mirandilla,1358
Monesterio,4610
Montemolín,1652
Monterrubio de la Serena,2920
Montijo,15453
La Morera,786
La Nava de Santiago,1146
Navalvillar de Pela,4870
Nogales,756
Oliva de la Frontera,5881
Oliva de Mérida,1963
Olivenza,10762
Orellana de la Sierra,340
Orellana la Vieja,3278
Palomas,726
La Parra,1416
Peñalsordo,1463
Peraleda del Zaucejo,634
Puebla de Alcocer,1414
Puebla de la Calzada,5527
Puebla de la Reina,907
Puebla de Obando,2045
Puebla de Sancho Pérez,2891
Puebla del Maestre,906
Puebla del Prior,565
Pueblonuevo del Guadiana,1987
Quintana de la Serena,5150
Reina,217
Rena,657
Retamal de Llerena,528
Ribera del Fresno,3398
Risco,219
La Roca de la Sierra,1590
Salvaleón,2177
Salvatierra de los Barros,1927
San Pedro de Mérida,829
San Vicente de Alcántara,5908
Sancti-Spíritus,287
Santa Amalia,4398
Santa Marta,4157
Los Santos de Maimona,7899
Segura de León,2297
Siruela,2391
Solana de los Barros,2750
Talarrubias,3609
Talavera la Real,5255
Táliga,738
Tamurejo,276
Torre de Miguel Sesmero,1274
Torremayor,1044
Torremejía,2091
Trasierra,718
Trujillanos,1379
Usagre,2072
Valdecaballeros,1384
Valdelacalzada,2599
Valdetorres,1379
Valencia de las Torres,811
Valencia del Mombuey,793
Valencia del Ventoso,2307
Valverde de Burguillos,372
Valverde de Leganés,3804
Valverde de Llerena,803
Valverde de Mérida,1138
Valle de la Serena,1532
Valle de Matamoros,491
Valle de Santa Ana,1220
Villafranca de los Barros,12568
Villagarcía de la Torre,1023
Villagonzalo,1410
Villalba de los Barros,1696
Villanueva de la Serena,24191
Villanueva del Fresno,3497
Villar de Rena,1627
Villar del Rey,2322
Villarta de los Montes,645
Zafra,15373
Zahínos,3026
Zalamea de la Serena,4554
La Zarza,3619
Zarza-Capilla,483
