Name,Population
Abadiño,7720
Abanto y Ciérvana-Abanto Zierbena,9401
Ajangiz,478
Alonsotegi,2959
Amorebieta-Etxano,19540
Amoroto,392
Arakaldo,162
Arantzazu,391
Areatza,1238
Arrankudiaga,992
Arratzu,429
Arrieta,580
Arrigorriaga,11949
Artea,755
Artzentales,726
Atxondo,1368
Aulesti,654
Bakio,2813
Balmaseda,7642
Barakaldo,100987
Barrika,1542
Basauri,40430
Bedia,1113
Berango,7472
Bermeo,16911
Berriatua,1215
Berriz,4533
Bilbao†,345235
Busturia,1643
Derio,7064
Dima,1497
Durango,29715
Ea,826
Elantxobe,349
Elorrio,7299
Erandio,24426
Ereño,276
Ermua,15594
Errigoiti,510
Etxebarri,11968
Etxebarria,783
Forua,915
Fruiz,550
Galdakao,29309
Galdames,833
Gamiz-Fika,1394
Garai,334
Gatika,1624
Gautegiz Arteaga,888
Gernika-Lumo,17012
Getxo,76297
Gizaburuaga,196
Gordexola,1681
Gorliz,6067
Güeñes,6736
Ibarrangelu,694
Igorre,4284
Ispaster,734
Iurreta,3733
Izurtza,225
Karrantza Harana/Valle de Carranza,11907
Kortezubi,445
Lanestosa,248
Larrabetzu,2056
Laukiz,1225
Leioa,32472
Lekeitio,7141
Lemoa,3540
Lemoiz,1315
Lezama,2448
Loiu,2296
Mallabia,1159
Mañaria,533
Markina-Xemein,5021
Maruri-Jatabe,1069
Mendata,385
Mendexa,424
Meñaka,763
Morga,415
Mundaka,1842
Mungia,17865
Munitibar-Arbatzegi Gerrikaitz,471
Murueta,338
Muskiz,7342
Muxika,1516
Nabarniz,269
Ondarroa,8207
Orozko,2658
Ortuella,8537
Otxandio,1324
Plentzia,4369
Portugalete,44648
Santurtzi,46089
Sestao,27780
Sondika,4525
Sopelana,14857
Sopuerta,2721
Sukarrieta,354
Trucios-Turtzioz,520
Ubide,179
Ugao-Miraballes,4158
Urduliz,5468
Urduña/Orduña,4163
Valle de Trápaga-Trapagaran,11907
Zaldibar,3000
Zalla,8322
Zamudio,3290
Zaratamo,1605
Zeanuri,1248
Zeberio,1083
Zierbena,1496
Ziortza-Bolibar,399
