Name,Population
Abajas,28
Adrada de Haza,205
Aguas Cándidas,59
Aguilar de Bureba,50
Albillos,215
Alcocero de Mola,41
Alfoz de Bricia,68
Alfoz de Quintanadueñas,2139
Alfoz de Santa Gadea,101
Altable,46
Los Altos,186
Ameyugo,107
Anguix,158
Aranda de Duero,33675
Arandilla,155
Arauzo de Miel,272
Arauzo de Salce,46
Arauzo de Torre,61
Arcos,1838
Arenillas de Riopisuerga,169
Arija,115
Arlanzón,427
Arraya de Oca,53
Atapuerca,182
Los Ausines,165
Avellanosa de Muñó,97
Bahabón de Esgueva,84
Los Balbases,306
Baños de Valdearados,320
Bañuelos de Bureba,31
Barbadillo de Herreros,104
Barbadillo del Mercado,133
Barbadillo del Pez,66
Barrio de Muñó,32
Los Barrios de Bureba,178
Barrios de Colina,55
Basconcillos del Tozo,294
Bascuñana,18
Belbimbre,55
Belorado,1836
Berberana,48
Berlangas de Roa,203
Berzosa de Bureba,26
Bozoó,102
Brazacorta,45
Briviesca,6547
Bugedo,191
Buniel,611
Burgos†,176551
Busto de Bureba,143
Cabañes de Esgueva,149
Cabezón de la Sierra,36
Caleruega,387
Campillo de Aranda,172
Campolara,48
Canicosa de la Sierra,425
Cantabrana,23
Carazo,39
Carcedo de Bureba,37
Carcedo de Burgos,485
Cardeñadijo,1430
Cardeñajimeno,1168
Cardeñuela Riopico,111
Carrias,24
Cascajares de Bureba,27
Cascajares de la Sierra,27
Castellanos de Castro,46
Castildelgado,35
Castil de Peones,28
Castrillo de la Reina,158
Castrillo de la Vega,620
Castrillo del Val,819
Castrillo de Riopisuerga,58
Castrillo Mota de Judíos,52
Castrojeriz,780
Cavia,252
Cayuela,188
Cebrecos,58
Celada del Camino,90
Cerezo de Río Tirón,491
Cerratón de Juarros,45
Ciadoncha,73
Cillaperlata,30
Cilleruelo de Abajo,209
Cilleruelo de Arriba,49
Ciruelos de Cervera,99
Cogollos,677
Condado de Treviño,1490
Contreras,87
Coruña del Conde,100
Covarrubias,505
Cubillo del Campo,102
Cubo de Bureba,102
La Cueva de Roa,90
Cuevas de San Clemente,45
Encío,41
Espinosa de Cervera,85
Espinosa del Camino,42
Espinosa de los Monteros,1648
Estépar,635
Fontioso,54
Frandovínez,96
Fresneda de la Sierra Tirón,97
Fresneña,66
Fresnillo de las Dueñas,696
Fresno de Río Tirón,161
Fresno de Rodilla,49
Frías,270
Fuentebureba,56
Fuentecén,234
Fuentelcésped,275
Fuentelisendo,101
Fuentemolinos,91
Fuentenebro,138
Fuentespina,816
Galbarros,27
La Gallega,39
Grijalba,118
Grisaleña,53
Gumiel de Izán,582
Gumiel de Mercado,385
Hacinas,147
Haza,34
Hontanas,70
Hontangas,99
Hontoria de la Cantera,174
Hontoria del Pinar,609
Hontoria de Valdearados,168
Las Hormazas,99
Hornillos del Camino,47
La Horra,299
Hortigüela,107
Hoyales de Roa,212
Huérmeces,153
Huerta de Arriba,128
Huerta de Rey,880
Humada,116
Hurones,53
Ibeas de Juarros,1459
Ibrillos,29
Iglesiarrubia,45
Iglesias,141
Isar,285
Itero del Castillo,71
Jaramillo de la Fuente,47
Jaramillo Quemado,10
Junta de Traslaloma,122
Junta de Villalba de Losa,77
Jurisdicción de Lara,41
Jurisdicción de San Zadornil,66
Lerma,2570
Llano de Bureba,49
Madrigal del Monte,144
Madrigalejo del Monte,176
Mahamud,105
Mambrilla de Castrejón,105
Mambrillas de Lara,56
Mamolar,28
Manciles,21
Mazuela,57
Mecerreyes,187
Medina de Pomar,5979
Melgar de Fernamental,1517
Merindad de Cuesta-Urria,270
Merindad de Montija,741
Merindad de Río Ubierna,1415
Merindad de Sotoscueva,412
Merindad de Valdeporres,416
Merindad de Valdivielso,403
Milagros,418
Miranda de Ebro,36025
Miraveche,95
Modúbar de la Emparedada,767
Monasterio de la Sierra,40
Monasterio de Rodilla,168
Moncalvillo,76
Monterrubio de la Demanda,56
Montorio,149
Moradillo de Roa,170
Nava de Roa,199
Navas de Bureba,24
Nebreda,55
Neila,119
Olmedillo de Roa,185
Olmillos de Muñó,40
Oña,953
Oquillas,49
Orbaneja Riopico,350
Padilla de Abajo,69
Padilla de Arriba,92
Padrones de Bureba,59
Palacios de la Sierra,677
Palacios de Riopisuerga,18
Palazuelos de la Sierra,93
Palazuelos de Muñó,54
Pampliega,290
Pancorbo,437
Pardilla,102
Partido de la Sierra en Tobalina,81
Pedrosa de Duero,461
Pedrosa del Páramo,90
Pedrosa del Príncipe,164
Pedrosa de Río Úrbel,246
Peñaranda de Duero,464
Peral de Arlanza,170
Piérnigas,39
Pineda de la Sierra,94
Pineda Trasmonte,98
Pinilla de los Barruecos,98
Pinilla de los Moros,33
Pinilla Trasmonte,162
Poza de la Sal,282
Prádanos de Bureba,56
Pradoluengo,1070
Presencio,208
La Puebla de Arganzón,558
Puentedura,122
Quemada,242
Quintanabureba,31
Quintana del Pidio,152
Quintanaélez,47
Quintanaortuño,289
Quintanapalla,123
Quintanar de la Sierra,1502
Quintanavides,64
Quintanilla de la Mata,108
Quintanilla del Agua y Tordueles,337
Quintanilla del Coco,50
Las Quintanillas,390
Quintanilla San García,68
Quintanilla Vivar,900
Rabanera del Pinar,99
Rábanos,79
Rabé de las Calzadas,254
Rebolledo de la Torre,91
Redecilla del Camino,94
Redecilla del Campo,67
Regumiel de la Sierra,298
Reinoso,18
Retuerta,59
La Revilla y Ahedo,101
Revilla del Campo,94
Revillarruz,654
Revilla Vallejera,115
Rezmondo,17
Riocavado de la Sierra,55
Roa,2298
Rojas,58
Royuela de Río Franco,171
Rubena,219
Rublacedo de Abajo,36
Rucandio,72
Salas de Bureba,129
Salas de los Infantes,1988
Saldaña de Burgos,202
Salinillas de Bureba,47
San Adrián de Juarros,86
San Juan del Monte,154
San Mamés de Burgos,310
San Martín de Rubiales,139
San Millán de Lara,63
Santa Cecilia,105
Santa Cruz de la Salceda,147
Santa Cruz del Valle Urbión,103
Santa Gadea del Cid,163
Santa Inés,155
Santa María del Campo,523
Santa María del Invierno,67
Santa María del Mercadillo,108
Santa María Ribarredonda,97
Santa Olalla de Bureba,38
Santibáñez de Esgueva,76
Santibáñez del Val,70
Santo Domingo de Silos,247
San Vicente del Valle,28
Sargentes de la Lora,133
Sarracín,264
Sasamón,912
La Sequera de Haza,27
Solarana,78
Sordillos,22
Sotillo de la Ribera,472
Sotragero,301
Sotresgudo,419
Susinos del Páramo,118
Tamarón,55
Tardajos,864
Tejada,35
Terradillos de Esgueva,64
Tinieblas de la Sierra,25
Tobar,27
Tordómar,298
Torrecilla del Monte,79
Torregalindo,123
Torrelara,32
Torrepadre,67
Torresandino,573
Tórtoles de Esgueva,386
Tosantos,53
Trespaderne,713
Tubilla del Agua,128
Tubilla del Lago,172
Úrbel del Castillo,58
Vadocondes,363
Valdeande,99
Valdezate,122
Valdorros,376
Valmala,26
Vallarta de Bureba,42
Valle de Losa,496
Valle de Manzanedo,116
Valle de Mena,4147
Valle de Oca,165
Valle de Santibáñez,479
Valle de Sedano,409
Valle de Tobalina,862
Valle de Valdebezana,488
Valle de Valdelaguna,190
Valle de Valdelucio,328
Valle de Zamanzas,45
Valle de las Navas,541
Vallejera,39
Valles de Palenzuela,75
Valluércanes,62
La Vid de Bureba,24
La Vid y Barrios,245
Vileña,27
Villarcayo de Merindad de Castilla la Vieja,4043
Viloria de Rioja,37
Vilviestre del Pinar,504
Villadiego,1455
Villaescusa de Roa,92
Villaescusa la Sombría,59
Villaespasa,22
Villafranca Montes de Oca,122
Villafruela,143
Villagalijo,52
Villagonzalo Pedernales,1879
Villahoz,277
Villalba de Duero,709
Villalbilla de Burgos,1522
Villalbilla de Gumiel,74
Villaldemiro,91
Villalmanzo,408
Villamayor de los Montes,166
Villamayor de Treviño,56
