Name,Population
Ahín,130
Albocácer,1302
Alcalá de Chivert,7160
Alcora,10526
Alcudia de Veo,203
Alfondeguilla,873
Algimia de Amonacid,249
Almazora,27892
Almedíjar,280
Almenara,6591
Alquerías del Niño Perdido,4539
Altura,3695
Arañuel,165
Ares del Maestre,174
Argelita,156
Artana,1980
Adzaneta,1319
Ayódar,178
Azuébar,336
Barracas,198
Bejís,409
Benafer,164
Benafigos,135
Benasal,1026
Benicarló,28681
Benicasim,19951
Benlloch,1108
Bechí,5580
Borriol,5865
Burriana,35750
Cabanes,3222
Cálig,2013
Canet lo Roig,685
Castell de Cabres,19
Castellfort,188
Castellnovo,888
Castellón de la Plana,176238
Castillo de Villamalefa,109
Catí,724
Caudiel,716
Cervera del Maestre,656
Chilches,2981
Chodos,117
Chóvar,310
Cinctorres,427
Cirat,223
Cortes de Arenoso,304
Costur,535
Cuevas de Vinromá,1813
Culla,480
Eslida,758
Espadilla,90
Fanzara,294
Figueroles,518
Forcall,473
Fuente la Reina,59
Fuentes de Ayódar,98
Gaibiel,197
Geldo,650
Herbés,72
Higueras,50
La Jana,678
Jérica,1794
La Llosa,1003
Lucena del Cid,1369
Ludiente,155
La Mata de Morella,179
Matet,84
Moncófar,7747
Montán,399
Montanejos,603
Morella,2492
Navajas,840
Nules,13827
Olocáu del Rey,126
Onda,25547
Oropesa del Mar,10958
Palanques,36
Pavías,74
Peñíscola,8449
Pina de Montalgrao,119
Puebla de Benifasar,235
Puebla-Tornesa,1309
Portell de Morella,166
Puebla de Arenoso,169
Ribesalbes,1135
Rosell,891
Sacañet,86
Salsadella,660
San Rafael del Río,494
San Juan de Moró,3516
Sant Jorge,1249
San Mateo,1987
Santa Magdalena de Pulpis,784
Segorbe,9425
Sarratella,110
Sierra Engarcerán,1045
Soneja,1508
Sot de Ferrer,474
Sueras,572
Tales,852
Teresa,250
Tírig,430
Todolella,144
Toga,112
Torás,256
El Toro,248
Torralba del Pinar,69
Torreblanca,5630
Torrechiva,114
Torre Embesora,164
Torre Endoménech,175
Traiguera,1336
Useras,985
Vall d'Alba,3054
Vall de Almonacid,286
Vall de Uxó,31611
Vallat,66
Vallibona,62
Villafamés,1915
Villafranca del Cid,2148
Villanueva de Alcolea,575
Villar de Canes,159
Villarreal,51852
Villavieja,3074
Villahermosa del Río,488
Villamalur,95
Villanueva de Viver,110
Villores,54
Vinaroz,29686
Vistabella del Maestrazgo,369
Viver,1683
Chert,686
Zorita del Maestrazgo,117
Zucaina,176
