Name,Population
Abella de la Conca,170
Abrera,12125
Àger,594
Agramunt,5515
Aguilar de Segarra,251
Agullana,826
Aiguafreda,2498
Aiguamúrcia,909
Aiguaviva,783
Aitona,2415
Els Alamús,769
Alàs i Cerc,356
L'Albagés,419
Albanyà,155
Albatàrrec,2139
Albesa,1608
L'Albi,834
Albinyana,2335
L'Albiol,458
Albons,727
Alcanar,9637
Alcanó,242
Alcarràs,9252
Alcoletge,3270
Alcover,5131
L'Aldea,4376
Aldover,940
L'Aleixar,891
Alella,9651
Alfara de Carles,395
Alfarràs,3003
Alfés,315
Alforja,1859
Algerri,423
Alguaire,3093
Alins,286
Alió,432
Almacelles,6699
Almatret,333
Almenar,3547
Almoster,1396
Alòs de Balaguer,126
Alp,1661
Alpens,300
Alpicat,6297
Alt Àneu,416
Altafulla,4988
Amer,2281
L'Ametlla de Mar,7303
L'Ametlla del Vallès,8283
L'Ampolla,3479
Amposta,21197
Anglès,5606
Anglesola,1360
Arbeca,2389
L'Arboç,5515
Arbolí,105
Arbúcies,6481
Arenys de Mar,15307
Arenys de Munt,8654
Argelaguer,425
Argençola,212
L'Argentera,146
Argentona,11963
L'Armentera,901
Arnes,474
Arres,73
Arsèguel,81
Artés,5661
Artesa de Lleida,1508
Artesa de Segre,3656
Ascó,1654
Aspa,215
Les Avellanes i Santa Linya,479
Avià,2258
Avinyó,2275
Avinyonet de Puigventós,1581
Avinyonet del Penedès,1675
Badalona,217210
Badia del Vallès,13553
Bagà,2225
Baix Pallars,361
Balaguer,16485
Balenyà,3724
Balsareny,3343
Banyeres del Penedès,3057
Banyoles,19343
Barbens,875
Barberà de la Conca,519
Barberà del Vallès,32550
Barcelona,1602386
La Baronia de Rialb,235
Bàscara,949
Bassella,244
Batea,1975
Bausen,49
Begues,6620
Begur,3994
Belianes,555
Bell-lloc d'Urgell,2351
Bellaguarda,307
Bellcaire d'Empordà,650
Bellcaire d'Urgell,1305
Bellmunt d'Urgell,192
Bellmunt del Priorat,307
Bellprat,78
Bellpuig,4956
Bellvei,2174
Bellver de Cerdanya,2075
Bellvís,2342
Benavent de Segrià,1516
Benifallet,703
Benissanet,1247
Berga,16456
Besalú,2400
Bescanó,4874
Beuda,200
Bigues i Riells,8854
Biosca,197
La Bisbal d'Empordà,10761
La Bisbal de Montsant,216
La Bisbal del Penedès,3495
Biure,245
Blancafort,413
Blanes,39293
Boadella i les Escaules,248
Bolvir,373
Bonastre,622
Es Bòrdes,234
Bordils,1690
Les Borges Blanques,6088
Les Borges del Camp,2077
Borrassà,728
Borredà,540
Bossòst,1140
Bot,630
Botarell,1100
Bovera,290
Bràfim,660
Breda,3751
El Bruc,1991
El Brull,263
Brunyola,391
Cabacés,326
Cabanabona,88
Cabanelles,243
Cabanes,921
Les Cabanyes,961
Cabó,98
Cabra del Camp,1115
Cabrera d'Anoia,1363
Cabrera de Mar,4525
Cabrils,7197
Cadaqués,2820
Calaf,3475
Calafell,24333
Calders,949
Caldes d'Estrac,2738
Caldes de Malavella,7130
Caldes de Montbui,17156
Calella,18307
Calldetenes,2429
Callús,1985
Calonge,10541
Calonge de Segarra,202
Camarasa,911
Camarles,3514
Cambrils,33301
Camós,686
Campdevànol,3395
Campelles,132
Campins,521
Campllong,515
Camprodon,2359
Canejan,102
Canet d'Adri,644
Canet de Mar,14123
La Canonja,5807
Canovelles,15954
Cànoves i Samalús,2863
Cantallops,324
Canyelles,4345
Capafonts,114
Capçanes,411
Capellades,5284
Capmany,612
Capolat,88
Cardedeu,17698
Cardona,4921
Carme,817
Caseres,267
Cassà de la Selva,9922
Casserres,1569
Castell de l'Areny,75
Castell de Mur,163
Castell-Platja d'Aro,10721
Castellar de la Ribera,149
Castellar de n'Hug,159
Castellar del Riu,171
Castellar del Vallès,23440
Castellbell i el Vilar,3624
Castellbisbal,12434
Castellcir,718
Castelldans,976
Castelldefels,63255
Castellet i la Gornal,2237
Castellfollit de la Roca,1013
Castellfollit de Riubregós,177
Castellfollit del Boix,428
Castellgalí,2022
Castellnou de Bages,1241
Castellnou de Seana,740
Castelló d'Empúries,11473
Castelló de Farfanya,565
Castellolí,571
Castellserà,1083
Castellterçol,2400
Castellvell del Camp,2869
Castellví de la Marca,1589
Castellví de Rosanes,1760
El Catllar,4222
Cava,60
La Cellera de Ter,2071
Celrà,5053
Centelles,7333
Cercs,1246
Cerdanyola del Vallès,57402
Cervelló,8811
Cervera,9039
Cervià de les Garrigues,708
Cervià de Ter,934
Cistella,293
Ciutadilla,209
Clariana de Cardener,140
El Cogul,190
Colera,532
Coll de Nargó,587
Collbató,4427
Colldejou,172
Collsuspina,338
Colomers,195
La Coma i la Pedra,269
Conca de Dalt,443
Conesa,122
Constantí,6539
Copons,323
Corbera d'Ebre,1136
Corbera de Llobregat,14237
Corbins,1400
Corçà,1257
Cornellà de Llobregat,86234
Cornellà del Terri,2235
Cornudella de Montsant,954
Creixell,3480
Crespià,245
"Cruïlles, Monells i Sant Sadurní de l'Heura",1284
Cubelles,14481
Cubells,395
Cunit,11989
Darnius,534
Das,220
Deltebre,11831
Dosrius,5137
Duesaigües,239
L'Escala,10143
Esparreguera,21685
Espinelves,196
L'Espluga Calba,395
L'Espluga de Francolí,3836
Esplugues de Llobregat,46133
Espolla,417
Esponellà,458
Espot,357
L'Espunyola,259
L'Esquirol,2188
Estamariu,119
L'Estany,407
Estaràs,176
Esterri d'Àneu,866
Esterri de Cardós,72
Falset,2838
El Far d'Empordà,563
Farrera,125
La Fatarella,1051
La Febró,40
Figaró-Montmany,1096
Fígols,43
Fígols i Alinyà,260
La Figuera,118
Figueres,45444
Figuerola del Camp,345
Flaçà,1041
Flix,3795
La Floresta,162
Fogars de la Selva,1512
Fogars de Montclús,482
Foixà,320
Folgueroles,2259
Fondarella,838
Fonollosa,1429
Font-rubí,1353
Fontanals de Cerdanya,443
Fontanilles,160
Fontcoberta,1442
Foradada,182
Forallac,1729
Forès,46
Fornells de la Selva,2479
Fortià,710
Les Franqueses del Vallès,19170
Freginals,405
La Fuliola,1294
Fulleda,98
Gaià,163
La Galera,800
Gallifa,202
Gandesa,3091
Garcia,559
Els Garidells,182
La Garriga,15762
Garrigàs,398
Garrigoles,159
Garriguella,857
Gavà,46326
Gavet de la Conca,303
Gelida,7194
Ger,432
Gimenells i el Pla de la Font,1129
Ginestar,819
Girona,97227
Gironella,4987
Gisclareny,25
Godall,673
Golmés,1734
Gombrèn,195
Gósol,216
La Granada,2073
La Granadella,715
Granera,80
La Granja d'Escarp,972
Granollers,59930
Granyanella,147
Granyena de les Garrigues,162
Granyena de Segarra,136
Gratallops,243
Gualba,1429
Gualta,362
Guardiola de Berguedà,937
Els Guiamets,292
Guils de Cerdanya,536
Guimerà,295
La Guingueta d'Àneu,317
Guissona,6827
Guixers,128
Gurb,2545
Horta de Sant Joan,1219
L'Hospitalet de Llobregat,253518
Els Hostalets de Pierola,2942
Hostalric,4010
Igualada,38751
Isona i Conca Dellà,1049
Isòvol,301
Ivars d'Urgell,1607
Ivars de Noguera,350
Ivorra,115
Jafre,396
La Jonquera,3115
Jorba,838
Josa i Tuixén,128
Juià,340
Juncosa,438
Juneda,3497
Les,968
Linyola,2677
La Llacuna,906
Lladó,767
Lladorre,232
Lladurs,195
La Llagosta,13430
Llagostera,8198
Llambilles,738
Llanars,509
Llançà,4970
Llardecans,497
Llavorsí,367
Lleida,139176
Llers,1242
Lles de Cerdanya,260
Lliçà d'Amunt,14696
Lliçà de Vall,6354
Llimiana,159
Llinars del Vallès,9536
Llívia,1536
El Lloar,110
Llobera,201
Llorac,112
Llorenç del Penedès,2306
Lloret de Mar,38624
Les Llosses,211
Lluçà,257
Maçanet de Cabrenys,781
