Name,Population
Abenójar,1331
Agudo,1609
Alamillo,469
Albaladejo,1054
Alcázar de San Juan,30943
Alcoba,569
Alcolea de Calatrava,1383
Alcubillas,445
Aldea del Rey,1582
Alhambra,967
Almadén,4966
Almadenejos,399
Almagro,9003
Almedina,485
Almodóvar del Campo,5787
Almuradiel,751
Anchuras,267
Arenales de San Gregorio,598
Arenas de San Juan,1022
Argamasilla de Alba,6837
Argamasilla de Calatrava,5818
Arroba de los Montes,416
Ballesteros de Calatrava,371
Bolaños de Calatrava,11978
Brazatortas,1005
Cabezarados,308
Cabezarrubias del Puerto,497
Calzada de Calatrava,3809
Campo de Criptana,12972
Cañada de Calatrava,100
Caracuel de Calatrava,144
Carrión de Calatrava,3183
Carrizosa,1137
Castellar de Santiago,1802
Chillón,1775
Ciudad Real†,75254
Corral de Calatrava,1124
Los Cortijos,859
Cózar,934
Daimiel,17673
Fernán Caballero,992
Fontanarejo,237
Fuencaliente,1010
Fuenllana,206
Fuente el Fresno,3072
Granátula de Calatrava,699
Guadalmez,718
Herencia,8405
Hinojosas de Calatrava,506
Horcajo de los Montes,801
Las Labores,548
Llanos del Caudillo,697
Luciana,371
Malagón,7755
Manzanares,17716
Membrilla,5827
Mestanza,662
Miguelturra,15766
Montiel,1219
Moral de Calatrava,5121
Navalpino,211
Navas de Estena,286
Pedro Muñoz,7637
Picón,682
Piedrabuena,4360
Poblete,2862
Porzuna,3524
Pozuelo de Calatrava,3743
Los Pozuelos de Calatrava,368
Puebla de Don Rodrigo,1131
Puebla del Príncipe,664
Puerto Lápice,881
Puertollano,45243
Retuerta del Bullaque,898
El Robledo,1068
Ruidera,539
Saceruela,529
San Carlos del Valle,1082
San Lorenzo de Calatrava,199
Santa Cruz de los Cáñamos,490
Santa Cruz de Mudela,3876
Socuéllamos,12162
La Solana,15220
Solana del Pino,332
Terrinches,605
Tomelloso,36462
Torralba de Calatrava,3063
Torre de Juan Abad,970
Torrenueva,2644
Valdemanco del Esteras,162
Valdepeñas,30380
Valenzuela de Calatrava,654
Villahermosa,1720
Villamanrique,1082
Villamayor de Calatrava,640
Villanueva de la Fuente,1926
Villanueva de los Infantes,4739
Villanueva de San Carlos,280
Villar del Pozo,55
Villarrubia de los Ojos,9751
Villarta de San Juan,2710
Viso del Marqués,2143
