Name,Population
Abia de la Obispalía,61
El Acebrón,226
Alarcón,172
Albaladejo del Cuende,228
Albalate de las Nogueras,268
Albendea,126
La Alberca de Záncara,1569
Alcalá de la Vega,83
Alcantud,56
Alcázar del Rey,160
Alcohujate,19
Alconchel de la Estrella,82
Algarra,28
Aliaguilla,618
La Almarcha,435
Almendros,249
Almodóvar del Pinar,394
Almonacid del Marquesado,437
Altarejos,212
Arandilla del Arroyo,11
Arcas,2155
Arcos de la Sierra,77
Arguisuelas,134
Arrancacepas,16
Atalaya del Cañavate,105
Barajas de Melo,1020
Barchín del Hoyo,95
Bascuñana de San Pedro,26
Beamud,55
Belinchón,403
Belmonte,1795
Belmontejo,135
Beteta,239
Boniches,146
Buciegas,39
Buenache de Alarcón,457
Buenache de la Sierra,113
Buendía,419
Campillo de Altobuey,1290
Campillos-Paravientos,107
Campillos-Sierra,29
Campos del Paraíso,681
Canalejas del Arroyo,172
Cañada del Hoyo,244
Cañada Juncosa,220
Cañamares,453
El Cañavate,139
Cañaveras,241
Cañaveruelas,117
Cañete,810
Cañizares,443
Carboneras de Guadazaón,775
Cardenete,479
Carrascosa,65
Carrascosa de Haro,96
Casas de Benítez,811
Casas de Fernando Alonso,1151
Casas de Garcimolina,34
Casas de Guijarro,112
Casas de Haro,846
Casas de los Pinos,421
Casasimarro,3169
Castejón,140
Castillejo de Iniesta,123
Castillejo-Sierra,35
Castillo-Albaráñez,23
Castillo de Garcimuñoz,134
Cervera del Llano,210
Chillarón de Cuenca,808
Chumillas,66
La Cierva,38
Cuenca†,53630
Cueva del Hierro,29
Enguídanos,315
Fresneda de Altarejos,40
Fresneda de la Sierra,40
La Frontera,153
Fuente de Pedro Naharro,1238
Fuentelespino de Haro,237
Fuentelespino de Moya,107
Fuentenava de Jábaga,593
Fuentes,464
Fuertescusa,69
Gabaldón,158
Garaballa,66
Gascueña,142
Graja de Campalbo,89
Graja de Iniesta,362
Henarejos,134
El Herrumblar,746
La Hinojosa,191
Los Hinojosos,733
El Hito,146
Honrubia,1568
Hontanaya,266
Hontecillas,56
Horcajo de Santiago,3722
Huélamo,81
Huelves,90
Huérguina,48
Huerta de la Obispalía,143
Huerta del Marquesado,177
Huete,1756
Iniesta,4417
Laguna del Marquesado,58
Lagunaseca,51
Landete,1245
Ledaña,1645
Leganiel,223
Las Majadas,224
Mariana,322
Masegosa,63
Las Mesas,2294
Minglanilla,2311
Mira,922
Monreal del Llano,46
Montalbanejo,89
Montalbo,712
Monteagudo de las Salinas,138
Mota de Altarejos,29
Mota del Cuervo,6084
Motilla del Palancar,6168
Moya,170
Narboneta,53
Olivares de Júcar,317
Olmeda de la Cuesta,22
Olmeda del Rey,130
Olmedilla de Alarcón,134
Olmedilla de Eliz,22
Osa de la Vega,443
Pajarón,78
Pajaroncillo,59
Palomares del Campo,558
Palomera,189
Paracuellos,99
Paredes,75
La Parra de las Vegas,34
El Pedernoso,1126
Las Pedroñeras,6647
El Peral,665
La Peraleja,88
La Pesquera,226
El Picazo,693
Pinarejo,193
Pineda de Gigüela,60
Piqueras del Castillo,48
Portalrubio de Guadamejud,36
Portilla,56
Poyatos,80
Pozoamargo,269
Pozorrubielos de la Mancha,183
Pozorrubio de Santiago,323
El Pozuelo,44
Priego,898
El Provencio,2393
Puebla de Almenara,331
Puebla del Salvador,202
Quintanar del Rey,7655
Rada de Haro,50
Reíllo,110
Rozalén del Monte,59
Saceda-Trasierra,42
Saelices,471
Salinas del Manzano,76
Salmeroncillos,103
Salvacañete,298
San Clemente,6794
San Lorenzo de la Parrilla,1108
San Martín de Boniches,45
San Pedro Palmiches,58
Santa Cruz de Moya,225
Santa María del Campo Rus,537
Santa María de los Llanos,685
Santa María del Val,65
Sisante,1639
Solera de Gabaldón,34
Sotorribas,698
Talayuelas,874
Tarancón,16331
Tébar,310
Tejadillos,107
Tinajas,191
Torralba,111
Torrejoncillo del Rey,344
Torrubia del Campo,311
Torrubia del Castillo,44
Tragacete,268
Tresjuncos,272
Tribaldos,97
Uclés,248
Uña,88
Los Valdecolmenas,71
Valdemeca,83
Valdemorillo de la Sierra,56
Valdemoro-Sierra,110
Valdeolivas,218
Valdetórtola,126
Las Valeras,1589
Valhermoso de la Fuente,76
El Valle de Altomira,210
Valsalobre,21
Valverde de Júcar,1080
Valverdejo,94
Vara de Rey,474
Vega del Codorno,146
Vellisca,118
Villaconejos de Trabaque,333
Villaescusa de Haro,491
Villagarcía del Llano,765
Villalba de la Sierra,543
Villalba del Rey,489
Villalgordo del Marquesado,66
Villalpardo,1008
Villamayor de Santiago,2418
Villanueva de Guadamejud,62
Villanueva de la Jara,2356
Villar de Cañas,389
Villar de Domingo García,226
Villar de la Encina,153
Villar del Humo,192
Villar del Infantado,30
Villar de Olalla,1422
Villar y Velasco,79
Villarejo de Fuentes,414
Villarejo de la Peñuela,23
Villarejo-Periesteban,387
Villares del Saz,474
Villarrubio,208
Villarta,853
Villas de la Ventosa,222
Villaverde y Pasaconsol,338
Víllora,135
Vindel,18
Yémeda,22
Zafra de Záncara,92
Zafrilla,53
Zarza de Tajo,279
Zarzuela,157
