Name,Population
Abánades,63
Ablanque,68
Adobes,30
Alaminos,62
Alarilla,141
Albalate de Zorita,1137
Albares,526
Albendiego,46
Alcocer,340
Alcolea de las Peñas,12
Alcolea del Pinar,331
Alcoroches,133
Aldeanueva de Guadalajara,104
Algar de Mesa,46
Algora,101
Alhóndiga,169
Alique,14
Almadrones,59
Almoguera,1414
Almonacid de Zorita,646
Alocén,159
Alovera,13459
Alustante,136
Angón,7
Anguita,160
Anquela del Ducado,60
Anquela del Pedregal,27
Aranzueque,383
Arbancón,147
Arbeteta,19
Argecilla,71
Armallones,54
Armuña de Tajuña,273
Arroyo de las Fraguas,33
Atanzón,95
Atienza,440
Auñón,146
Azuqueca de Henares,35352
Baides,56
Baños de Tajo,15
Bañuelos,13
Barriopedro,20
Berninches,50
La Bodera,21
Brihuega,2777
Budia,208
Bujalaro,47
Bustares,71
Cabanillas del Campo,11023
Campillo de Dueñas,78
Campillo de Ranas,156
Campisábalos,90
Canredondo,87
Cantalojas,126
Cañizar,72
El Cardoso de la Sierra,57
Casa de Uceda,100
El Casar,13345
Casas de San Galindo,19
Caspueñas,138
Castejón de Henares,61
Castellar de la Muela,24
Castilforte,58
Castilnuevo,8
Cendejas de Enmedio,70
Cendejas de la Torre,25
Centenera,146
Checa,285
Chequilla,14
Chiloeches,3974
Chillarón del Rey,88
Cifuentes,1687
Cincovillas,23
Ciruelas,141
Ciruelos del Pinar,28
Cobeta,101
Cogollor,22
Cogolludo,558
Condemios de Abajo,12
Condemios de Arriba,116
Congostrina,14
Copernal,39
Corduente,310
El Cubillo de Uceda,119
Driebes,349
Durón,115
Embid,30
Escamilla,65
Escariche,188
Escopete,68
Espinosa de Henares,661
Esplegares,37
Establés,32
Estriégana,11
Fontanar,2633
Fuembellida,11
Fuencemillán,88
Fuentelahiguera de Albatages,116
Fuentelencina,323
Fuentelsaz,92
Fuentelviejo,52
Fuentenovilla,607
Gajanejos,61
Galápagos,2730
Galve de Sorbe,96
Gascueña de Bornova,31
Guadalajara†,88886
Henche,85
Heras de Ayuso,228
Herrería,20
Hiendelaencina,115
Hijes,20
Hita,318
Hombrados,51
Hontoba,432
Horche,2776
Hortezuela de Océn,40
La Huerce,56
Huérmeces del Cerro,42
Huertahernando,56
Hueva,112
Humanes,1730
Illana,896
Iniéstola,18
Las Inviernas,58
Irueste,68
Jadraque,1437
Jirueque,49
Ledanca,107
Loranca de Tajuña,1512
Lupiana,296
Luzaga,68
Luzón,63
Majaelrayo,53
Málaga del Fresno,174
Malaguilla,194
Mandayona,306
Mantiel,30
Maranchón,213
Marchamalo,8276
Masegoso de Tajuña,74
Matarrubia,70
Matillas,105
Mazarete,27
Mazuecos,320
Medranda,68
Megina,32
Membrillera,95
Miedes de Atienza,58
La Mierla,40
Millana,117
Milmarcos,70
La Miñosa,30
Mirabueno,90
Miralrío,56
Mochales,40
Mohernando,181
Molina de Aragón,3331
Monasterio,15
Mondéjar,2858
Montarrón,30
Moratilla de los Meleros,109
Morenilla,55
Muduex,110
Las Navas de Jadraque,37
Negredo,13
Ocentejo,16
El Olivar,88
Olmeda de Cobeta,61
La Olmeda de Jadraque,19
El Ordial,35
Orea,196
Pálmaces de Jadraque,47
Pardos,40
Paredes de Sigüenza,24
Pareja,466
Pastrana,923
El Pedregal,63
Peñalén,80
Peñalver,183
Peralejos de las Truchas,159
Peralveche,85
Pinilla de Jadraque,51
Pinilla de Molina,12
Pioz,5263
Piqueras,35
El Pobo de Dueñas,100
Poveda de la Sierra,113
Pozo de Almoguera,114
Pozo de Guadalajara,1628
Prádena de Atienza,56
Prados Redondos,53
Puebla de Beleña,54
Puebla de Valles,67
Quer,1039
Rebollosa de Jadraque,10
El Recuenco,70
Renera,101
Retiendas,54
Riba de Saelices,103
Rillo de Gallo,46
Riofrío del Llano,64
Robledillo de Mohernando,181
Robledo de Corpes,47
Romanillos de Atienza,31
Romanones,116
Rueda de la Sierra,37
Sacecorbo,104
Sacedón,1582
Saelices de la Sal,48
Salmerón,144
San Andrés del Congosto,76
San Andrés del Rey,39
Santiuste,16
Saúca,46
Sayatón,67
Selas,37
Semillas,29
Setiles,81
Sienes,47
Sigüenza,4745
Solanillos del Extremo,86
Somolinos,28
El Sotillo,34
Sotodosos,29
Tamajón,149
Taragudo,52
Taravilla,42
Tartanedo,159
Tendilla,318
Terzaga,19
Tierzo,37
La Toba,74
Tordelrábano,16
Tordellego,43
Tordesilos,94
Torija,1717
Torrecuadrada de Molina,19
Torrecuadradilla,29
Torre del Burgo,502
Torrejón del Rey,6205
Torremocha de Jadraque,20
Torremocha del Campo,193
Torremocha del Pinar,35
Torremochuela,6
Torrubia,25
Tórtola de Henares,1380
Tortuera,170
Tortuero,20
Traíd,22
Trijueque,1569
Trillo,1386
Uceda,3152
Ujados,26
Utande,33
Valdarachas,46
Valdearenas,86
Valdeavellano,107
Valdeaveruelo,1208
Valdeconcha,47
Valdegrudas,51
Valdelcubo,38
Valdenuño Fernández,335
Valdepeñas de la Sierra,145
Valderrebollo,33
Valdesotos,29
Valfermoso de Tajuña,85
Valhermoso,23
Valtablado del Río,8
Valverde de los Arroyos,91
Viana de Jadraque,39
Villanueva de Alcorón,144
Villanueva de Argecilla,34
Villanueva de la Torre,6616
Villares de Jadraque,50
Villaseca de Henares,25
Villaseca de Uceda,49
Villel de Mesa,164
Viñuelas,186
Yebes,5201
Yebra,496
Yélamos de Abajo,59
Yélamos de Arriba,85
Yunquera de Henares,4425
La Yunta,95
Zaorejas,116
Zarzuela de Jadraque,60
Zorita de los Canes,59
