Name,Population
Alájar,792
Aljaraque,22505
El Almendro,857
Almonaster la Real,1753
Almonte,25327
Alosno,4011
Aracena,8427
Aroche,2995
Arroyomolinos de León,924
Ayamonte,22007
Beas,4388
Berrocal,288
Bollullos Par del Condado,14433
Bonares,6193
Cabezas Rubias,712
Cala,1118
Calañas,2757
El Campillo,2019
Campofrío,727
Cañaveral de León,382
Cartaya,21423
Castaño del Robledo,226
El Cerro de Andévalo,2267
Chucena,2317
Corteconcepción,576
Cortegana,4626
Cortelazor,313
Cumbres de Enmedio,61
Cumbres de San Bartolomé,359
Cumbres Mayores,1732
Encinasola,1294
Escacena del Campo,2315
Fuenteheridos,819
Galaroza,1376
Gibraleón,13306
La Granada de Río-Tinto,244
El Granado,494
Higuera de la Sierra,1299
Hinojales,326
Hinojos,4111
Huelva†,143526
Isla Cristina,21664
Jabugo,2199
Lepe,29382
Linares de la Sierra,275
Lucena del Puerto,3429
Manzanilla,2231
Los Marines,427
Minas de Riotinto,3709
Moguer,23371
La Nava,258
Nerva,5068
Niebla,4307
La Palma del Condado,10710
Palos de la Frontera,12900
Paterna del Campo,3428
Paymogo,1187
Puebla de Guzmán,3131
Puerto Moral,280
Punta Umbría,16092
Rociana del Condado,8025
Rosal de la Frontera,1695
San Bartolomé de la Torre,3999
San Juan del Puerto,9826
Sanlúcar de Guadiana,419
San Silvestre de Guzmán,642
Santa Ana la Real,476
Santa Bárbara de Casa,1149
Santa Olalla del Cala,2061
Trigueros,8131
Valdelarco,236
Valverde del Camino,12704
Villablanca,2999
Villalba del Alcor,3310
Villanueva de las Cruces,379
Villanueva de los Castillejos,2962
Villarrasa,2144
Zalamea la Real,2977
La Zarza-Perrunal,1191
Zufre,736
