Name,Population
Albanchez de Mágina,929
Alcalá la Real,21610
Alcaudete,10286
Aldeaquemada,453
Andújar,35737
Arjona,5374
Arjonilla,3530
Arquillos,1685
Arroyo del Ojanco,2183
Baeza,15679
Bailén,17262
Baños de la Encina,2565
Beas de Segura,4974
Bedmar y Garcíez,2571
Begíjar,2947
Bélmez de la Moraleda,1509
Benatae,428
Cabra del Santo Cristo,1649
Cambil,2631
Campillo de Arenas,1702
Canena,1754
Carboneros,593
Cárcheles,1289
La Carolina,14709
Castellar,3154
Castillo de Locubín,3853
Cazalilla,773
Cazorla,7004
Chiclana de Segura,881
Chilluévar,1321
Escañuela,902
Espeluy,592
Frailes,1551
Fuensanta de Martos,3014
Fuerte del Rey,1341
Génave,551
La Guardia de Jaén,5244
Guarromán,2758
Higuera de Calatrava,590
Hinojares,349
Hornos,579
Huelma,5521
Huesa,2417
Ibros,2767
La Iruela,1861
Iznatoraf,880
Jabalquinto,1964
Jaén†,111945
Jamilena,3300
Jimena,1240
Jódar,11362
Lahiguera,1589
Larva,440
Linares,55303
Lopera,3539
Lupión,804
Mancha Real,11382
Marmolejo,6521
Martos,24423
Mengíbar,10035
Montizón,1525
Navas de San Juan,4419
Noalejo,1795
Orcera,1715
Peal de Becerro,5272
Pegalajar,2832
Porcuna,5900
Pozo Alcón,4583
Puente de Génave,2180
La Puerta de Segura,2245
Quesada,4950
Rus,3412
Sabiote,3780
Santa Elena,868
Santiago-Pontones,2700
Santiago de Calatrava,672
Santisteban del Puerto,4455
Santo Tomé,2071
Segura de la Sierra,1685
Siles,2108
Sorihuela del Guadalimar,1036
Torreblascopedro,2404
Torredelcampo,13937
Torredonjimeno,13258
Torreperogil,7115
Torres,1348
Torres de Albánchez,743
Úbeda,33665
Valdepeñas de Jaén,3554
Vilches,4213
Villacarrillo,10329
Villanueva de la Reina,2965
Villanueva del Arzobispo,7779
Villardompardo,924
Los Villares,6083
Villarrodrigo,394
Villatorres,4272
