Name,Island,Population
Agaete,Gran Canaria,5593
Agüimes,Gran Canaria,32797
Artenara,Gran Canaria,1036
Arucas,Gran Canaria,38655
Firgas,Gran Canaria,7701
Gáldar,Gran Canaria,24728
Ingenio,Gran Canaria,32356
Mogán,Gran Canaria,20938
Moya,Gran Canaria,7887
La Aldea de San Nicolás,Gran Canaria,7523
Las Palmas de Gran Canaria,Gran Canaria,380863
San Bartolomé de Tirajana,Gran Canaria,54668
Santa Brígida,Gran Canaria,18598
Santa Lucía de Tirajana,Gran Canaria,76418
Santa María de Guía de Gran Canaria,Gran Canaria,13971
Tejeda,Gran Canaria,1846
Telde,Gran Canaria,103240
Teror,Gran Canaria,12831
Valleseco,Gran Canaria,3766
Valsequillo de Gran Canaria,Gran Canaria,9693
Vega de San Mateo,Gran Canaria,7785
Antigua,Fuerteventura,13513
Betancuria,Fuerteventura,811
La Oliva,Fuerteventura,29174
Pájara,Fuerteventura,21130
Puerto del Rosario,Fuerteventura,43493
Tuineje,Fuerteventura,16031
Arrecife,Lanzarote,64735
Haría,Lanzarote,5543
San Bartolomé,Lanzarote,19443
Teguise,Lanzarote,23788
Tías,Lanzarote,21296
Tinajo,Lanzarote,6725
Yaiza,Lanzarote,17268
