Name,Population
Acebedo,188
Algadefe,302
Alija del Infantado,571
Almanza,603
La Antigua,327
Ardón,547
Arganza,808
Astorga,10292
Balboa,265
La Bañeza,10137
Barjas,147
Los Barrios de Luna,292
Bembibre,8199
Benavides,3240
Benuza,452
Bercianos del Páramo,523
Bercianos del Real Camino,187
Berlanga del Bierzo,323
Boca de Huérgano,426
Boñar,1765
Borrenes,302
Brazuelo,318
El Burgo Ranero,691
Burón,288
Bustillo del Páramo,1057
Cabañas Raras,1309
Cabreros del Río,409
Cabrillanes,710
Cacabelos,4749
Calzada del Coto,224
Campazas,110
Campo de Villavidel,202
Camponaraya,4109
Cármenes,333
Carracedelo,3428
Carrizo,2223
Carrocera,440
Carucedo,483
Castilfalé,61
Castrillo de Cabrera,102
Castrillo de la Valduerna,143
Castrocalbón,915
Castrocontrigo,669
Castropodame,1580
Castrotierra de Valmadrigal,105
Cea,378
Cebanico,145
Cebrones del Río,438
Chozas de Abajo,2699
Cimanes de la Vega,447
Cimanes del Tejar,742
Cistierna,2903
Congosto,1430
Corbillos de los Oteros,177
Corullón,835
Crémenes,518
Cuadros,2099
Cubillas de los Oteros,137
Cubillas de Rueda,387
Cubillos del Sil,1721
Destriana,429
Encinedo,637
La Ercina,432
Escobar de Campos,31
Fabero,4057
Folgoso de la Ribera,980
Fresno de la Vega,480
Fuentes de Carbajal,76
Garrafe de Torío,1638
Gordaliza del Pino,240
Gordoncillo,308
Gradefes,924
Grajal de Campos,212
Gusendos de los Oteros,126
Hospital de Órbigo,959
Igüeña,1052
Izagre,139
Joarilla de las Matas,248
Laguna Dalga,624
Laguna de Negrillos,1047
León†,122866
Llamas de la Ribera,791
Lucillo,360
Luyego,556
Magaz de Cepeda,349
Mansilla de las Mulas,1660
Mansilla Mayor,325
Maraña,112
Matadeón de los Oteros,221
Matallana de Torío,1234
Matanza,175
Molinaseca,869
Murias de Paredes,340
Noceda del Bierzo,605
Oencia,280
Las Omañas,261
Onzonilla,1945
Oseja de Sajambre,228
Pajares de los Oteros,240
Palacios de la Valduerna,356
Palacios del Sil,847
Páramo del Sil,1173
Peranzanes,271
Pobladura de Pelayo García,361
La Pola de Gordón,2856
Ponferrada,62957
Posada de Valdeón,404
Pozuelo del Páramo,394
Prado de la Guzpeña,104
Priaranza del Bierzo,712
Prioro,351
Puebla de Lillo,653
Puente de Domingo Flórez,1405
Quintana del Castillo,714
Quintana del Marco,313
Quintana y Congosto,420
Regueras de Arriba,264
Reyero,127
Riaño,479
Riego de la Vega,717
Riello,585
Rioseco de Tapia,398
La Robla,3629
Roperuelos del Páramo,502
Sabero,1024
Sahagún,2393
San Adrián del Valle,84
San Andrés del Rabanedo,29923
Sancedo,528
San Cristóbal de la Polantera,623
San Emiliano,597
San Esteban de Nogales,242
San Justo de la Vega,1779
San Millán de los Caballeros,191
San Pedro Bercianos,224
Santa Colomba de Curueño,507
Santa Colomba de Somoza,493
Santa Cristina de Valmadrigal,277
Santa Elena de Jamuz,1018
Santa María de la Isla,443
Santa María del Monte de Cea,209
Santa María de Ordás,325
Santa María del Páramo,3005
Santa Marina del Rey,1742
Santas Martas,752
Santiago Millas,363
Santovenia de la Valdoncina,2072
Sariegos,5454
Sena de Luna,388
Sobrado,282
Soto de la Vega,1495
Soto y Amío,715
Toral de los Guzmanes,498
Toral de los Vados,1754
Toreno,2868
Torre del Bierzo,1971
Trabadelo,332
Truchas,391
Turcia,986
Urdiales del Páramo,452
Valdefresno,2332
Valdefuentes del Páramo,306
Valdelugueros,486
Valdemora,61
Valdepiélago,307
Valdepolo,1211
Valderas,1508
Valderrey,417
Valderrueda,820
Valdesamario,175
Val de San Lorenzo,492
Valdevimbre,917
Valencia de Don Juan,5159
Valverde de la Virgen,7802
Valverde-Enrique,152
Vallecillo,103
Valle de Ancares[b],275
La Vecilla,381
Vegacervera,259
Vega de Espinareda,2005
Vega de Infanzones,841
Vega de Valcarce,553
Vegaquemada,435
Vegas del Condado,1158
Villablino,7719
Villabraz,95
Villadangos del Páramo,1235
Villademor de la Vega,291
Villafranca del Bierzo,2679
Villagatón,645
Villamandos,276
Villamanín,878
Villamañán,1077
Villamartín de Don Sancho,148
Villamejil,654
Villamol,136
Villamontán de la Valduerna,683
Villamoratiel de las Matas,121
Villanueva de las Manzanas,503
Villaobispo de Otero,517
Villaornate y Castro,352
Villaquejida,805
Villaquilambre,18710
Villarejo de Órbigo,2877
Villares de Órbigo,561
Villasabariego,1147
Villaselán,182
Villaturiel,1832
Villazala,598
Villazanzo de Valderaduey,367
Zotes del Páramo,401
