Name,Population
Abanilla,6047
Abarán,13080
Águilas,35310
Albudeite,1393
Alcantarilla,42619
Los Alcázares,16958
Aledo,1084
Alguazas,9819
Alhama de Murcia,22475
Archena,19492
Beniel,11508
Blanca,6573
Bullas,11609
Calasparra,10118
Campos del Río,2064
Caravaca de la Cruz,25659
Cartagena,215826
Cehegín,14935
Ceutí,12286
Cieza,35179
Fortuna,10665
Fuente Álamo de Murcia,17253
Jumilla,26107
Librilla,5394
Lorca,95726
Lorquí,7307
Mazarrón,33377
Molina de Segura,73593
Moratalla,7807
Mula,17124
Murcia,459778
Ojós,501
Pliego,3913
Puerto Lumbreras,16219
Ricote,1281
San Javier,33489
San Pedro del Pinatar,26465
Santomera,16116
Torre-Pacheco,37039
Las Torres de Cotillas,21907
Totana,32835
Ulea,866
La Unión,20560
Villanueva del Río Segura,3271
Yecla,35052
