Name,Population
Alameda,5439
Alcaucín,2691
Alfarnate,1045
Alfarnatejo,371
Algarrobo,6898
Algatocín,838
Alhaurín de la Torre,44572
Alhaurín el Grande,26540
Almáchar,1921
Almargen,1931
Almogía,4142
Álora,13524
Alozaina,2127
Alpandeire,254
Antequera,41578
Árchez,416
Archidona,8020
Ardales,2512
Arenas,1295
Arriate,4084
Atajate,196
Benadalid,232
Benahavís,9256
Benalauría,464
Benalmádena,78011
Benamargosa,1546
Benamocarra,3108
Benaoján,1433
Benarrabá,466
El Borge,940
El Burgo,1756
Campillos,8491
Canillas de Aceituno,1761
Canillas de Albaida,813
Cañete la Real,1590
Carratraca,782
Cartajima,229
Cártama,28849
Casabermeja,4074
Casarabonela,2781
Casares,8528
Coín,25763
Colmenar,3545
Comares,1340
Cómpeta,3623
Cortes de la Frontera,3032
Cuevas Bajas,1341
Cuevas del Becerro,1601
Cuevas de San Marcos,3627
Cútar,589
Estepona,78590
Faraján,284
Frigiliana,3392
Fuengirola,85646
Fuente de Piedra,2973
Gaucín,1592
Genalguacil,404
Guaro,2486
Humilladero,3366
Igualeja,777
Iznate,951
Jimera de Líbar,399
Jubrique,586
Júzcar,228
Macharaviaya,508
Málaga†,592346
Manilva,17980
Marbella,159054
Mijas,92211
Moclinejo,1239
Mollina,5467
Monda,3015
Montecorto,599
Montejaque,952
Nerja,22078
Ojén,4721
Parauta,283
Periana,3389
Pizarra,10187
Pujerra,291
Rincón de la Victoria,52043
Riogordo,2795
Ronda,33520
Salares,204
Sayalonga,1624
Sedella,606
Serrato,458
Sierra de Yeguas,3457
Teba,3703
Tolox,2394
Torremolinos,70920
Torrox,21406
Totalán,778
Valle de Abdalajís,2461
Vélez-Málaga,87300
Villanueva de Algaidas,4066
Villanueva de la Concepción,3277
Villanueva de Tapia,1393
Villanueva del Rosario,3398
Villanueva del Trabuco,5436
Viñuela,1989
Yunquera,2877
