Name,Population
Abaigar,97
Abarzuza,510
Abaurregaina/Abaurrea Alta,160
Abaurrepea/Abaurrea Baja,46
Aberin,355
Ablitas,2376
Adios,147
Aguilar de Codés,106
Aibar/Oibar,936
Altsasu/Alsasua,7281
Allin,794
Allo,1029
Améscoa Baja,807
Ancín,382
Andosilla,2524
Ansoáin,8175
Anue,419
Añorbe,452
Agoitz,1892
Araitz,592
Arakil,882
Aranarache,93
Aranguren,4244
Arano,146
Arantza,628
Aras,222
Arbizu,925
Arce,291
Los Arcos,1311
Arellano,196
Areso,282
Arguedas,2317
Aria,67
Aribe,63
Armañanzas,86
Arróniz,1140
Arruazu,103
Artajona,1717
Artazu,106
Atez,222
Auritz / Burguete,320
Ayegui,1132
Azagra,3802
Azuelo,53
Bakaiku,349
Barañáin,22017
Barásoain,474
Barbarin,93
Bargota,373
Barillas,200
Basaburua,671
Baztan,7670
Beintza-Labaien,279
Beire,305
Belascoáin,110
Bera,3581
Berbinzana,735
Beriáin,2836
Berrioplano,1345
Berriozar,6735
Bertizarana,679
Betelu,342
Bidaurreta,116
Biurrun-Olcoz,197
Buñuel,2442
Burgui - Burgi,244
Burlada/Burlata,17647
El Busto,99
Cabanillas,1570
Cabredo,116
Cadreita,2074
Caparroso,2475
Cárcar,1247
Carcastillo,2646
Cascante,3822
Cáseda,1058
Castejón,3360
Castillo-Nuevo,20
Cintruénigo,6190
Cirauqui,452
Ciriza,71
Cizur,1597
Corella,7298
"Cortes, Navarre",3361
Desojo,127
Dicastillo,704
Donamaria,389
Doneztebe/Santesteban,1429
Echarri/Etxarri,58
Egüés,3314
Elgorriaga,218
Enériz,219
Eratsun,176
Ergoiena,451
Erro,783
Eslava,165
Esparza de Salazar,104
Espronceda,170
Estella - Lizarra,13150
Esteribar,1518
Etayo,90
Etxalar,788
Etxarri-Aranatz,2394
Etxauri,424
Eulate,371
Ezcabarte,1335
Ezcároz - Ezkaroze,364
Ezkurra,213
Ezprogui,62
Falces,2545
Fitero,2192
Fontellas,832
Funes,2340
Fustiñana,2438
Galar,1256
Gallipienzo,161
Gallués - Galoze,121
Garaioa,127
Garde,187
Garínoain,396
Garralda,204
Genevilla,124
Goizueta,891
Goñi,210
Güesa - Gorza,72
Guesálaz,477
Guirguillano,93
Hiriberri/Villanueva de Aezkoa,145
Huarte - Uharte,3169
Ibargoiti,238
Igantzi,604
Igúzquiza,339
Imotz,401
Irañeta,161
Irurtzun,2244
Isaba/Izaba,529
Ituren,469
Iturmendi,378
Iza,771
Izagaondoa,163
Izalzu - Itzaltzu,47
Jaurrieta,237
Juslapeña,491
Lakuntza,1015
Lana,213
Lantz,120
Lapoblación,196
Larraga,1969
Larraona,148
Larraun,1047
Lazagurría,219
Leache,47
Legarda,88
Legaria,122
Leitza,2935
Lekunberri,871
Leoz,272
Lerga,90
Lerín,1902
Lesaka,2665
Lezáun,270
Liédena,354
Lizoáin,243
Lodosa,4700
Lónguida - Longida,299
Lumbier,1422
Luquin,134
Luzaide/Valcarlos,459
Mañeru,391
Marañón,67
Marcilla,2672
Mélida,785
Mendavia,3741
Mendaza,356
Mendigorría,937
Metauten,293
Milagro,2827
Mirafuentes,55
Miranda de Arga,1031
Monreal,295
Monteagudo,1184
Morentin,142
Mues,111
Murchante,3251
Murieta,274
Murillo El Cuende,633
Murillo El Fruto,750
Muruzábal,279
Navascués,208
Nazar,61
Noáin (Valle de Elorz)-Noain (Elortzibar),4070
Obanos,820
Oco,84
Ochagavía/Otsagabia,680
Odieta,317
Oitz,146
Olaibar,162
Olazti/Olazagutía,1711
Olejua,54
Olite,3244
Olóriz,164
Olza,1484
Ollo,300
Orbaitzeta,241
Orbara,59
Orcoyen,1492
Orísoain,92
Oronz,57
Oroz-Betelu,219
Orreaga/Roncesvalles,27
Oteiza,914
Pamplona/Iruña,198750
Peralta,5571
Petilla de Aragón,40
Piedramillera,63
Pitillas,546
Puente la Reina/Gares,2463
Pueyo,333
Ribaforada,3397
Romanzado,163
Roncal/Erronkari,341
Sada,227
Saldías,139
Salinas de Oro,106
San Adrián,5583
San Martín de Unx,452
Sangüesa/Zangoza,4807
Sansol,120
Santacara,1057
Sarriés - Sartze,75
Sartaguda,1338
Sesma,1447
Sorlada,51
Sunbilla,681
Tafalla,10646
Tiebas-Muruarte de Reta,576
Tirapu,65
Torralba Del Río,151
Torres del Río,168
Tudela,30355
Tulebras,115
Úcar,131
Uharte-Arakil,792
Ujué,233
Ultzama,1606
Unciti,226
Unzué,133
Urdazubi/Urdax,391
Urdiain,627
Urraúl Alto,175
Urraúl Bajo,285
Urrotz,197
Urroz,365
Urzainki,104
Uterga,162
Uztárroz - Uztarrotze,243
Valtierra,2441
Viana,3563
Vidángoz - Bidankoze,113
Villafranca,2691
Villamayor de Monjardín,120
Villatuerta,864
Villava/Atarrabia,9803
Xabier,100
Yerri,1549
Yesa,236
Zabalza,162
Ziordia,364
Zizur Mayor/Zizur Nagusia,11950
Zubieta,293
Zugarramurdi,235
Zúñiga,162
