Name,Population
Allariz ,5821
Amoeiro ,2327
A Arnoia ,1103
Avión ,2610
Baltar ,1144
Bande ,2116
Baños de Molgas ,1846
Barbadás ,9177
O Barco de Valdeorras ,14213
Beade ,521
Beariz ,1319
Os Blancos ,1030
Boborás ,3001
A Bola ,1486
O Bolo ,1139
Calvos de Randín ,1093
Carballeda de Avia ,1546
Carballeda de Valdeorras ,1870
O Carballiño ,14114
Cartelle ,3387
Castrelo de Miño ,1928
Castrelo do Val ,1241
Castro Caldelas ,1594
Celanova ,6020
Cenlle ,1431
Coles ,3214
Cortegada ,1344
Cualedro ,2049
Chandrexa de Queixa ,679
Entrimo ,1367
Esgos ,1234
Gomesende ,1018
A Gudiña ,1584
O Irixo ,1828
Larouco ,581
Laza ,1597
Leiro ,1793
Lobeira ,1016
Lobios ,2259
Maceda ,3139
Manzaneda ,1028
Maside ,3093
Melón ,1498
A Merca ,2254
A Mezquita ,1365
Montederramo ,990
Monterrei ,3036
Muíños ,1821
Nogueira de Ramuín ,2435
Oímbra ,1915
Ourense ,107742
Paderne de Allariz ,1597
Padrenda ,2367
Parada de Sil ,683
O Pereiro de Aguiar ,6135
A Peroxa ,2303
Petín ,1030
Piñor ,1401
A Pobra de Trives ,2549
Pontedeva ,680
Porqueira ,1103
Punxín ,861
Quintela de Leirado ,754
Rairiz de Veiga ,1697
Ramirás ,1938
Ribadavia ,5519
Riós ,1907
A Rúa ,4816
Rubiá ,1585
San Amaro ,1289
San Cibrao das Viñas ,4310
San Cristovo de Cea ,2739
San Xoán de Río ,759
Sandiás ,1466
Sarreaus ,1587
Taboadela ,1697
A Teixeira ,479
Toén ,2635
Trasmiras ,1656
A Veiga ,1106
Verea ,1269
Verín ,14391
Viana do Bolo ,3382
Vilamarín ,2215
Vilamartín de Valdeorras ,2164
Vilar de Barrio ,1686
Vilar de Santos ,991
Vilardevós ,2324
Vilariño de Conso ,700
Xinzo de Limia ,10161
Xunqueira de Ambía ,1789
Xunqueira de Espadanedo ,962
