Name,Population
Agolada,2370
Arbo,2637
Baiona,12134
Barro,3716
Bueu,12148
Caldas de Reis,9860
Cambados,13814
Campo Lameiro,1806
Cangas,26487
A Cañiza,5173
Catoira,3349
Cerdedo-Cotobade,5815
Covelo,2417
Crecente,2032
Cuntis,4710
Dozón,1110
A Estrada,20661
Forcarei,3451
Fornelos de Montes,1640
Gondomar,14236
O Grove,10700
A Guarda,10013
A Illa de Arousa,4958
Lalín,20103
A Lama,2430
Marín,24362
Meaño,5315
Meis,4776
Moaña,19448
Mondariz,4496
Mondariz-Balneario,618
Moraña,4200
Mos,15142
As Neves,3892
Nigrán,17723
Oia,3018
Pazos de Borbén,2980
Poio,17018
Ponte Caldelas,5491
Ponteareas,22854
Pontecesures,3037
Pontevedra,82802
O Porriño,19740
Portas,2984
Redondela,29194
Ribadumia,5069
Rodeiro,2509
O Rosal,6249
Salceda de Caselas,9146
Salvaterra de Miño,9691
Sanxenxo,17212
Silleda,8698
Soutomaior,7305
Tomiño,13464
Tui,16902
Valga,5927
Vigo,293642
Vila de Cruces,5273
Vilaboa,5954
Vilagarcía de Arousa,37519
Vilanova de Arousa,10352
