Name,Population
Aguadulce,2064
Alanís,1669
Albaida del Aljarafe,3227
Alcalá de Guadaíra,77112
Alcalá del Río,12293
Alcolea del Río,3283
La Algaba,16755
Algámitas,1246
Almadén de la Plata,1336
Almensilla,6667
Arahal,19437
Aznalcázar,4923
Aznalcóllar,6098
Badolatosa,3076
Benacazón,7383
Bollullos de la Mitación,11255
Bormujos,22983
Brenes,12845
Burguillos,7348
Las Cabezas de San Juan,16400
Camas,28737
La Campana,5132
Cantillana,10717
Cañada Rosal,3418
Carmona,30004
Carrión de los Céspedes,2613
Casariche,5303
Castilblanco de los Arroyos,5171
Castilleja de Guzmán,2873
Castilleja de la Cuesta,17176
Castilleja del Campo,607
El Castillo de las Guardas,1514
Cazalla de la Sierra,4646
Constantina,5736
Coria del Río,31136
Coripe,1198
El Coronil,4691
Los Corrales,3968
El Cuervo de Sevilla,8711
Dos Hermanas,140463
Écija,39679
Espartinas,16554
Estepa,12410
Fuentes de Andalucía,7254
El Garrobo,809
Gelves,10491
Gerena,7923
Gilena,3668
Gines,13558
Guadalcanal,2523
Guillena,14110
Herrera,6573
Huévar del Aljarafe,3364
Isla Mayor,5785
Lantejuela,3860
Lebrija,27729
Lora de Estepa,891
Lora del Río,18285
La Luisiana,4631
El Madroño,305
Mairena del Alcor,24288
Mairena del Aljarafe,47906
Marchena,19399
Marinaleda,2570
Martín de la Jara,2645
Los Molares,3646
Montellano,7039
Morón de la Frontera,27218
Las Navas de la Concepción,1521
Olivares,9504
Osuna,17364
Los Palacios y Villafranca,38764
El Palmar de Troya,2306
Palomares del Río,9276
Paradas,6811
Pedrera,5122
El Pedroso,2075
Peñaflor,3662
Pilas,14147
Pruna,2531
La Puebla de Cazalla,10817
La Puebla de los Infantes,2917
La Puebla del Río,11860
El Real de la Jara,1528
La Rinconada,40332
La Roda de Andalucía,4186
El Ronquillo,1440
El Rubio,3313
Salteras,5602
San Juan de Aznalfarache,23112
Sanlúcar la Mayor,14366
San Nicolás del Puerto,599
Santiponce,8649
El Saucejo,4222
Seville†,686741
Tocina,9380
Tomares,25595
Umbrete,9395
Utrera,52279
Valencina de la Concepción,8085
Villamanrique de la Condesa,4655
Villanueva del Ariscal,6974
Villanueva del Río y Minas,5057
Villanueva de San Juan,1002
Villaverde del Río,7790
El Viso del Alcor,19318
