Name,Population
Ajofrín,2346
Alameda de la Sagra,4158
Albarreal de Tajo,738
Alcabón,761
Alcañizo,282
Alcaudete de la Jara,1652
Alcolea de Tajo,839
Aldea en Cabo,205
Aldeanueva de Barbarroya,456
Aldeanueva de San Bartolomé,412
Almendral de la Cañada,334
Almonacid de Toledo,927
Almorox,2395
Añover de Tajo,5236
Arcicóllar,1072
Argés,6978
Azután,292
Barcience,1067
Bargas,11018
Belvís de la Jara,1489
Borox,4172
Buenaventura,375
Burguillos de Toledo,3652
Burujón,1303
Cabañas de la Sagra,2112
Cabañas de Yepes,295
Cabezamesada,374
Calera y Chozas,4761
Caleruela,202
Calzada de Oropesa,499
Camarena,4444
Camarenilla,628
El Campillo de la Jara,329
Camuñas,1765
Cardiel de los Montes,399
Carmena,856
El Carpio de Tajo,1863
Carranque,5274
Carriches,276
El Casar de Escalona,2032
Casarrubios del Monte,6828
Casasbuenas,179
Castillo de Bayuela,919
Cazalegas,2000
Cebolla,3188
Cedillo del Condado,4331
Los Cerralbos,436
Cervera de los Montes,503
Chozas de Canales,4719
Chueca,252
Ciruelos,663
Cobeja,2552
Cobisa,4464
Consuegra,9854
Corral de Almaguer,5295
Cuerva,1279
Domingo Pérez,410
Dosbarrios,2248
Erustes,227
Escalona,3672
Escalonilla,1470
Espinoso del Rey,422
Esquivias,5771
La Estrella,288
Fuensalida,12322
Gálvez,2991
Garciotum,212
Gerindote,2632
Guadamur,1806
La Guardia,2148
Las Herencias,796
Herreruela de Oropesa,335
Hinojosa de San Vicente,392
Hontanar,148
Hormigos,952
Huecas,847
Huerta de Valdecarábanos,1765
La Iglesuela del Tiétar,444
Illán de Vacas,3
Illescas,31319
Lagartera,1315
Layos,877
Lillo,2528
Lominchar,2632
Lucillos,611
Madridejos,10151
Magán,4043
Malpica de Tajo,1676
Manzaneque,409
Maqueda,496
Marjaliza,258
Marrupe,158
Mascaraque,430
La Mata,889
Mazarambroz,1258
Mejorada,1380
Menasalbas,2489
Méntrida,6103
Mesegar de Tajo,206
Miguel Esteban,4750
Mocejón,5075
Mohedas de la Jara,395
Montearagón,571
Montesclaros,382
Mora,9881
Nambroca,5222
La Nava de Ricomalillo,507
Navahermosa,3625
Navalcán,1861
Navalmoralejo,50
Los Navalmorales,2175
Los Navalucillos,1956
Navamorcuende,605
Noblejas,3889
Noez,941
Nombela,912
Novés,3412
Numancia de la Sagra,5474
Nuño Gómez,159
Ocaña,14146
Olías del Rey,8698
Ontígola,4926
Orgaz,2611
Oropesa,2598
Otero,419
Palomeque,1151
Pantoja,3627
Paredes de Escalona,126
Parrillas,352
Pelahustán,337
Pepino,3240
Polán,3890
Portillo de Toledo,2308
La Puebla de Almoradiel,5021
La Puebla de Montalbán,7908
La Pueblanueva,2164
El Puente del Arzobispo,1170
Puerto de San Vicente,163
Pulgar,1534
Quero,1057
Quintanar de la Orden,11062
Quismondo,1747
El Real de San Vicente,975
Recas,5006
Retamoso de la Jara,109
Rielves,818
Robledo del Mazo,247
El Romeral,570
San Bartolomé de las Abiertas,619
San Martín de Montalbán,734
San Martín de Pusa,595
San Pablo de los Montes,1711
San Román de los Montes,2072
Santa Ana de Pusa,347
Santa Cruz de la Zarza,4160
Santa Cruz del Retamar,3895
Santa Olalla,3480
Santo Domingo-Caudilla,1166
Sartajada,109
Segurilla,1408
Seseña,29187
Sevilleja de la Jara,648
Sonseca,11195
Sotillo de las Palomas,175
Talavera de la Reina,84102
Tembleque,1967
El Toboso,1701
Toledo†,85818
Torralba de Oropesa,192
Torrecilla de la Jara,213
La Torre de Esteban Hambrán,1859
Torrico,704
Torrijos,13945
Totanés,356
Turleque,703
Ugena,5750
Urda,2487
Valdeverdeja,554
Valmojado,4688
Velada,2901
Las Ventas con Peña Aguilera,1165
Las Ventas de Retamosa,4103
Las Ventas de San Julián,232
Villacañas,9603
La Villa de Don Fadrique,3564
Villafranca de los Caballeros,4877
Villaluenga de la Sagra,4164
Villamiel de Toledo,1068
Villaminaya,508
Villamuelas,616
Villanueva de Alcardete,2992
Villanueva de Bogas,696
Villarejo de Montalbán,71
Villarrubia de Santiago,2534
Villaseca de la Sagra,1895
Villasequilla,2607
Villatobas,2756
El Viso de San Juan,5978
Los Yébenes,5715
Yeles,6263
Yepes,5483
Yuncler,4866
Yunclillos,823
Yuncos,12009
