Name,Population
Abezames,65
Alcañices,1111
Alcubilla de Nogales,134
Alfaraz de Sayago,149
Algodre,159
Almaraz de Duero,405
Almeida de Sayago,492
Andavías,444
Arcenillas,404
Arcos de la Polvorosa,251
Argañín,77
Argujillo,271
Arquillinos,119
Arrabalde,247
Aspariegos,279
Asturianos,264
Ayoó de Vidriales,349
Barcial del Barco,267
Belver de los Montes,307
Benavente,18315
Benegiles,324
Bermillo de Sayago,1085
Bóveda de Toro (La),760
Bretó,182
Bretocino,238
Brime de Sog,147
Brime de Urz,120
Burganes de Valverde,682
Bustillo del Oro,87
Cabañas de Sayago,153
Calzadilla de Tera,341
Camarzana de Tera,871
Cañizal,466
Cañizo,243
Carbajales de Alba,553
Carbellino,204
Casaseca de Campeán,100
Casaseca de las Chanas,394
Castrillo de la Guareña,126
Castrogonzalo,495
Castronuevo,243
Castroverde de Campos,334
Cazurra,82
Cerecinos de Campos,297
Cerecinos del Carrizal,116
Cernadilla,128
Cobreros,588
Coomonte,202
Coreses,1050
Corrales del Vino,1022
Cotanes del Monte,113
Cubillos,328
Cubo de Benavente,119
El Cubo de Tierra del Vino,347
Cuelgamures,90
Entrala,168
Espadañedo,123
Faramontanos de Tábara,365
Fariza,548
Fermoselle,1277
Ferreras de Abajo,555
Ferreras de Arriba,405
Ferreruela,504
Figueruela de Arriba,378
Fonfría,823
Fresno de la Polvorosa,149
Fresno de la Ribera,371
Fresno de Sayago,199
Friera de Valverde,177
Fuente Encalada,114
Fuentelapeña,761
Fuentes de Ropel,409
Fuentesaúco,1606
Fuentesecas,58
Fuentespreadas,322
Galende,1141
Gallegos del Pan,125
Gallegos del Río,544
Gamones,99
Gema,229
Granja de Moreruela,292
Granucillo,138
Guarrate,343
Hermisende,251
La Hiniesta,330
Jambrina,174
Justel,88
Losacino,230
Losacio,125
Lubián,326
Luelmo,164
El Maderal,206
Madridanos,481
Mahide,353
Maire de Castroponce,161
Malva,132
Manganeses de la Lampreana,499
Manganeses de la Polvorosa,707
Manzanal de Arriba,373
Manzanal de los Infantes,138
Manzanal del Barco,136
Matilla de Arzón,174
Matilla la Seca,45
Mayalde,202
Melgar de Tera,409
Micereces de Tera,488
Milles de la Polvorosa,228
Molacillos,268
Molezuelas de la Carballeda,82
Mombuey,425
Monfarracinos,986
Montamarta,587
Moral de Sayago,271
Moraleja de Sayago,249
Moraleja del Vino,1692
Morales del Rey,599
Morales de Toro,1008
Morales de Valverde,187
Morales del Vino,2966
Moralina,282
Moreruela de los Infanzones,362
Moreruela de Tábara,332
Muelas de los Caballeros,188
Muelas del Pan,677
Muga de Sayago,368
Navianos de Valverde,203
Olmillos de Castro,248
Otero de Bodas,178
Pajares de la Lampreana,365
Palacios de Sanabria,260
Palacios del Pan,261
Pedralba de la Pradería,292
El Pego,314
Peleagonzalo,258
Peleas de Abajo,259
Peñausende,415
Peque,147
El Perdigón,720
Pereruela,578
Perilla de Castro,181
Pías,138
Piedrahita de Castro,88
Pinilla de Toro,247
Pino del Oro,215
El Piñero,242
Pobladura de Valderaduey,44
Pobladura del Valle,310
Porto,188
Pozoantiguo,242
Pozuelo de Tábara,172
Prado,59
Puebla de Sanabria,1460
Pueblica de Valverde,214
Quintanilla de Urz,106
Quintanilla del Monte,102
Quintanilla del Olmo,32
Quiruelas de Vidriales,706
Rabanales,562
Rábano de Aliste,405
Requejo,149
Revellinos,269
Riofrío de Aliste,739
Rionegro del Puente,297
Roales del Pan,856
Robleda-Cervantes,448
Roelos de Sayago,171
Rosinos de la Requejada,387
Salce,103
Samir de los Caños,182
San Agustín del Pozo,188
San Cebrián de Castro,269
San Cristóbal de Entreviñas,1454
San Esteban del Molar,125
San Justo,234
San Martín de Valderaduey,63
San Miguel de la Ribera,303
San Miguel del Valle,145
San Pedro de Ceque,503
San Pedro de la Nave-Almendra,370
San Pedro de Zamudia,58
San Vicente de la Cabeza,417
San Vitero,543
Santa Clara de Avedillo,180
Santa Colomba de las Monjas,276
Santa Cristina de la Polvorosa,1088
Santa Croya de Tera,322
Santa Eufemia del Barco,189
Santa María de la Vega,342
Santa María de Valverde,60
Santibáñez de Tera,400
Santibáñez de Vidriales,1021
Santovenia,268
Sanzoles,539
Tábara,797
Tapioles,164
Toro,9115
La Torre del Valle,148
Torregamones,294
Torres del Carrizal,430
Trabazos,967
Trefacio,186
Uña de Quintana,150
Vadillo de la Guareña,279
Valcabado,359
Valdefinjas,54
Valdescorriel,141
Vallesa de la Guareña,99
Vega de Tera,371
Vega de Villalobos,117
Vegalatrave,92
Venialbo,473
Vezdemarbán,417
Vidayanes,88
Videmala,172
Villabrázaro,226
Villabuena del Puente,734
Villadepera,221
Villaescusa,261
Villafáfila,478
Villaferrueña,115
Villageriz,49
Villalazán,284
Villalba de la Lampreana,246
Villalcampo,471
Villalobos,255
Villalonso,96
Villalpando,1528
Villalube,169
Villamayor de Campos,322
Villamor de los Escuderos,418
Villanázar,289
Villanueva de Azoague,331
Villanueva de Campeán,122
Villanueva de las Peras,88
Villanueva del Campo,900
Villar de Fallaves,46
Villar del Buey,620
Villaralbo,1880
Villardeciervos,450
Villardiegua de la Ribera,133
Villárdiga,84
Villardondiego,97
Villarrín de Campos,425
Villaseco del Pan,249
Villavendimio,170
Villaveza de Valverde,89
Villaveza del Agua,209
Viñas,199
Zamora,63217
