municipio_id,municipio,provincia,poblacion
0,Madrid,Madrid,3182981
1,Barcelona,Cataluña,1602386
2,Valencia,Valencia,807693
3,Seville†,Seville,686741
4,Zaragoza,Zaragoza,620419
5,Málaga†,Málaga,592346
6,Murcia,Murcia,459778
7,Palma,"Mallorca, Balearic Islands",424837
8,Las Palmas de Gran Canaria,"Gran Canaria, Las Palmas",380863
9,Alicante,Alicante,349282
10,Bilbao†,Biscay,345235
11,Córdoba†,Córdoba,324902
12,Valladolid,Valladolid,318576
13,Vigo,Pontevedra,293642
14,Gijón,Asturias,271717
15,Vitoria-Gasteiz†,Álava,255423
16,L'Hospitalet de Llobregat,Cataluña,253518
17,A Coruña,A Coruña,242458
18,Elche,Alicante,238293
19,Granada†,Granada,233532
20,Oviedo,Asturias,219910
21,Badalona,Cataluña,217210
22,Cartagena,Murcia,215826
23,Terrassa,Cataluña,215517
24,Jerez de la Frontera,Cádiz,214844
25,Santa Cruz de Tenerife,"Tenerife, Santa Cruz de Tenerife",208906
26,Sabadell,Cataluña,207444
27,Móstoles,Madrid,206589
28,Almería†,Almería,201946
29,Pamplona Iruña,Navarre,198750
30,Fuenlabrada,Madrid,194669
31,Alcalá de Henares,Madrid,194310
32,Donostia-San Sebastián†,Gipuzkoa,188136
33,Leganés,Madrid,187720
34,Getafe,Madrid,178288
35,Burgos†,Burgos,176551
36,Castellón de la Plana,Castellón,176238
37,Albacete†,Albacete,173202
38,Santander ,Cantabria,171951
39,Alcorcón,Madrid,168141
40,San Cristóbal de La Laguna,"Tenerife, Santa Cruz de Tenerife",159576
41,Marbella,Málaga,159054
42,Salamanca,Salamanca,148042
43,Logroño,La Rioja,147036
44,Huelva†,Huelva,143526
45,Dos Hermanas,Seville,140463
46,Lleida,Cataluña,139176
47,Badajoz,Badajoz,136851
48,Tarragona,Cataluña,132199
49,Torrejón de Ardoz,Madrid,128013
50,Parla,Madrid,125898
51,Algeciras,Cádiz,125047
52,Mataró,Cataluña,124280
53,León†,León,122866
54,Santa Coloma de Gramenet,Cataluña,118738
55,Alcobendas,Madrid,114864
56,Jaén†,Jaén,111945
57,Cádiz†,Cádiz,111180
58,Roquetas de Mar,Almería,108348
59,Ourense ,Ourense,107742
60,Reus,Cataluña,104962
61,Telde,"Gran Canaria, Las Palmas",103240
62,Barakaldo,Biscay,100987
63,Girona,Cataluña,97227
64,Lorca,Murcia,95726
65,Las Rozas de Madrid,Madrid,95071
66,San Fernando,Cádiz,93793
67,Santiago de Compostela,A Coruña,93273
68,Mijas,Málaga,92211
69,El Puerto de Santa María,Cádiz,90423
70,Chiclana de la Frontera,Cádiz,89805
71,Lugo,Lugo,89509
72,El Ejido,Almería,89462
73,Torrevieja,Alicante,89290
74,Guadalajara†,Guadalajara,88886
75,Vélez-Málaga,Málaga,87300
76,Torrente,Valencia,87295
77,Sant Cugat del Vallès,Cataluña,87118
78,San Sebastián de los Reyes,Madrid,86707
79,Arona,"Tenerife, Santa Cruz de Tenerife",86497
80,Cornellà de Llobregat,Cataluña,86234
81,Toledo†,Toledo,85818
82,Fuengirola,Málaga,85646
83,Pozuelo de Alarcón,Madrid,85605
84,Cáceres,Cáceres,84439
85,Talavera de la Reina,Toledo,84102
86,Rivas-Vaciamadrid,Madrid,83767
87,Sant Boi de Llobregat,Cataluña,83107
88,Coslada,Madrid,83011
89,Pontevedra,Pontevedra,82802
90,Orihuela,Alicante,82449
91,Palencia,Palencia,80801
92,Ferrol,A Coruña,79520
93,Estepona,Málaga,78590
94,Gandía,Valencia,78108
95,Benalmádena,Málaga,78011
96,Avilés,Asturias,77791
97,Alcalá de Guadaíra,Seville,77112
98,Santa Lucía de Tirajana,"Gran Canaria, Las Palmas",76418
99,Getxo,Biscay,76297
100,Manresa,Cataluña,75297
101,Ciudad Real†,Ciudad Real,75254
102,Rubí,Cataluña,74353
103,Valdemoro,Madrid,73976
104,Molina de Segura,Murcia,73593
105,Paterna,Valencia,73488
106,Benidorm,Alicante,72342
107,Majadahonda,Madrid,71299
108,Torremolinos,Málaga,70920
109,Sagunto,Valencia,70128
110,Sanlúcar de Barrameda,Cádiz,69887
111,Vilanova i la Geltrú,Cataluña,65941
112,Viladecans,Cataluña,65358
113,La Línea de la Concepción,Cádiz,64987
114,Arrecife,"Lanzarote, Las Palmas",64735
115,Castelldefels,Cataluña,63255
116,Zamora,Zamora,63217
117,Ponferrada,León,62957
118,El Prat de Llobregat,Cataluña,62866
119,Irun,Gipuzkoa,62853
120,Collado Villalba,Madrid,62152
121,Granollers,Cataluña,59930
122,San Vicente del Raspeig,Alicante,59928
123,Motril,Granada,59867
124,Alcoy,Alicante,59493
125,Ávila†,Ávila,59119
126,Aranjuez,Madrid,58213
127,Cerdanyola del Vallès,Cataluña,57402
128,Granadilla de Abona,"Tenerife, Santa Cruz de Tenerife",55505
129,Linares,Jaén,55303
130,San Bartolomé de Tirajana,"Gran Canaria, Las Palmas",54668
131,Arganda del Rey,Madrid,53821
132,Cuenca†,Cuenca,53630
133,Elda,Alicante,53034
134,Utrera,Seville,52279
135,Rincón de la Victoria,Málaga,52043
136,Torrelavega ,Cantabria,52034
137,Villarreal,Castellón,51852
138,Calvià,"Mallorca, Balearic Islands",51831
139,Mollet del Vallès,Cataluña,51719
140,Segovia,Segovia,51525
141,Siero,Asturias,51509
142,Boadilla del Monte,Madrid,51463
143,Mérida,Badajoz,50780
144,Eivissa Vila (Ibiza Town),"Eivissa, Balearic Islands",50566
145,Adeje,"Tenerife, Santa Cruz de Tenerife",50523
146,Pinto,Madrid,50442
147,Colmenar Viejo,Madrid,48614
148,Huesca,Huesca,48530
149,Mairena del Aljarafe,Seville,47906
150,Alcira,Valencia,46421
151,Gavà,Cataluña,46326
152,Esplugues de Llobregat,Cataluña,46133
153,Santurtzi,Biscay,46089
154,Tres Cantos,Madrid,46046
155,Mislata,Valencia,45644
156,Denia,Alicante,45622
157,Figueres,Cataluña,45444
158,Puertollano,Ciudad Real,45243
159,Manacor,"Mallorca, Balearic Islands",44878
160,Portugalete,Biscay,44648
161,Alhaurín de la Torre,Málaga,44572
162,Sant Feliu de Llobregat,Cataluña,43715
163,Puerto del Rosario,"Fuerteventura, Las Palmas",43493
164,Lucena,Córdoba,43040
165,La Orotava,"Tenerife, Santa Cruz de Tenerife",42667
166,Alcantarilla,Murcia,42619
167,Puerto Real,Cádiz,42095
168,Vic,Cataluña,41956
169,Antequera,Málaga,41578
170,Basauri,Biscay,40430
171,Santa Eulària del Riu (Santa Eulalia del Río),"Eivissa, Balearic Islands",40413
172,La Rinconada,Seville,40332
173,Burjasot,Valencia,39702
174,San Fernando de Henares,Madrid,39681
175,Écija,Seville,39679
176,Blanes,Cataluña,39293
177,Vilafranca del Penedès,Cataluña,39221
178,Langreo,Asturias,39183
179,Errenteria,Gipuzkoa,39134
180,Los Palacios y Villafranca,Seville,38764
181,Igualada,Cataluña,38751
182,Arucas,"Gran Canaria, Las Palmas",38655
183,Lloret de Mar,Cataluña,38624
184,Plasencia,Cáceres,38495
185,Llucmajor (Lluchmayor),"Mallorca, Balearic Islands",38475
186,Marratxí (Marrachí),"Mallorca, Balearic Islands",38351
187,Santa Pola,Alicante,37816
188,Los Realejos,"Tenerife, Santa Cruz de Tenerife",37543
189,Mieres,Asturias,37537
190,Vilagarcía de Arousa,Pontevedra,37519
191,Ripollet,Cataluña,37233
192,Torre-Pacheco,Murcia,37039
193,El Vendrell,Cataluña,36719
194,Tomelloso,Ciudad Real,36462
195,Onteniente,Valencia,36194
196,Villajoyosa,Alicante,36093
197,Miranda de Ebro,Burgos,36025
198,Teruel,Teruel,35900
199,Burriana,Castellón,35750
200,Andújar,Jaén,35737
201,Sant Adrià de Besòs,Cataluña,35386
202,Azuqueca de Henares,Guadalajara,35352
203,Águilas,Murcia,35310
204,Cieza,Murcia,35179
205,Soria,Soria,35112
206,Yecla,Murcia,35052
207,San Roque,Cádiz,34617
208,Montcada i Reixac,Cataluña,34394
209,Villena,Alicante,34144
210,Tortosa,Cataluña,33932
211,Petrel,Alicante,33914
212,Olot,Cataluña,33913
213,Inca,"Mallorca, Balearic Islands",33719
214,Aranda de Duero,Burgos,33675
215,Úbeda,Jaén,33665
216,Ronda,Málaga,33520
217,San Javier,Murcia,33489
218,Mazarrón,Murcia,33377
219,Aldaya,Valencia,33376
220,Níjar,Almería,33348
221,Cambrils,Cataluña,33301
222,Sant Joan Despí,Cataluña,32981
223,Galapagar,Madrid,32903
224,Totana,Murcia,32835
225,Agüimes,"Gran Canaria, Las Palmas",32797
226,Barberà del Vallès,Cataluña,32550
227,Leioa,Biscay,32472
228,Ingenio,"Gran Canaria, Las Palmas",32356
229,Don Benito,Badajoz,32023
230,Castro-Urdiales ,Cantabria,31817
231,Vall de Uxó,Castellón,31611
232,Manises,Valencia,31573
233,Puerto de la Cruz,"Tenerife, Santa Cruz de Tenerife",31396
234,Illescas,Toledo,31319
235,Coria del Río,Seville,31136
236,Arcos de la Frontera,Cádiz,31055
237,Alcázar de San Juan,Ciudad Real,30943
238,Almendralejo,Badajoz,30784
239,Ciutadella de Menorca,"Menorca, Balearic Islands",30766
240,Chirivella,Valencia,30749
241,Camargo ,Cantabria,30556
242,Hellín,Albacete,30499
243,Valdepeñas,Ciudad Real,30380
244,Tudela,Navarre,30355
245,Crevillente,Alicante,30191
246,Salt,Cataluña,30103
247,Játiva,Valencia,30072
248,Carmona,Seville,30004
249,Campello,Alicante,29993
250,Rota,Cádiz,29960
251,San Andrés del Rabanedo,León,29923
252,Puente Genil,Córdoba,29879
253,Alacuás,Valencia,29825
254,Jávea,Alicante,29760
255,Durango,Biscay,29715
256,Vinaroz,Castellón,29686
257,Maó (Mahón),"Menorca, Balearic Islands",29648
258,Lepe,Huelva,29382
259,Sant Pere de Ribes,Cataluña,29339
260,Catarroja,Valencia,29316
261,Galdakao,Biscay,29309
262,Narón,A Coruña,29263
263,Redondela,Pontevedra,29194
264,Seseña,Toledo,29187
265,La Oliva,"Fuerteventura, Las Palmas",29174
266,Arroyomolinos,Madrid,29128
267,Sant Josep de sa Talaia (San José),"Eivissa, Balearic Islands",29015
268,Candelaria,"Tenerife, Santa Cruz de Tenerife",28876
269,Cártama,Málaga,28849
270,Camas,Seville,28737
271,Benicarló,Castellón,28681
272,Carballo,A Coruña,28527
273,Vícar,Almería,28505
274,Sitges,Cataluña,28171
275,Premià de Mar,Cataluña,28163
276,Sant Vicenç dels Horts,Cataluña,28103
277,Sueca,Valencia,28086
278,Martorell,Cataluña,27895
279,Almazora,Castellón,27892
280,Sestao,Biscay,27780
281,Lebrija,Seville,27729
282,Almuñécar,Granada,27699
283,Sant Antoni de Portmany,"Eivissa, Balearic Islands",27582
284,Navalcarnero,Madrid,27570
285,Villaviciosa de Odón,Madrid,27504
286,Oleiros,A Coruña,27453
287,Algemesí,Valencia,27438
288,Sant Andreu de la Barca,Cataluña,27268
289,Morón de la Frontera,Seville,27218
290,Paiporta,Valencia,27184
291,Eibar,Gipuzkoa,27179
292,Muchamiel,Alicante,27078
293,Bétera,Valencia,26759
294,Salou,Cataluña,26558
295,Alhaurín el Grande,Málaga,26540
296,Cangas,Pontevedra,26487
297,San Pedro del Pinatar,Murcia,26465
298,Puebla de Vallbona,Valencia,26435
299,Ribeira,A Coruña,26343
300,Jumilla,Murcia,26107
301,Pineda de Mar,Cataluña,25948
302,Calpe,Alicante,25854
303,Alboraya,Valencia,25792
304,Novelda,Alicante,25771
305,Coín,Málaga,25763
306,Caravaca de la Cruz,Murcia,25659
307,Tomares,Seville,25595
308,Cuart de Poblet,Valencia,25590
309,Oliva,Valencia,25558
310,Onda,Castellón,25547
311,Adra,Almería,25432
312,Santa Perpètua de Mogoda,Cataluña,25409
313,Armilla,Granada,25350
314,Almonte,Huelva,25327
315,San Juan de Alicante,Alicante,25275
316,Molins de Rei,Cataluña,25152
317,Villarrobledo,Albacete,25090
318,Piélagos ,Cantabria,24918
319,Gáldar,"Gran Canaria, Las Palmas",24728
320,Tacoronte,"Tenerife, Santa Cruz de Tenerife",24701
321,Valls,Cataluña,24570
322,Los Barrios,Cádiz,24540
323,Liria,Valencia,24518
324,Erandio,Biscay,24426
325,Martos,Jaén,24423
326,Marín,Pontevedra,24362
327,Calafell,Cataluña,24333
328,Mairena del Alcor,Seville,24288
329,Almansa,Albacete,24246
330,Villanueva de la Serena,Badajoz,24191
331,Icod de los Vinos,"Tenerife, Santa Cruz de Tenerife",24117
332,Conil de la Frontera,Cádiz,24042
333,Ibi,Alicante,23920
334,Paracuellos de Jarama,Madrid,23905
335,Altea,Alicante,23820
336,Teguise,"Lanzarote, Las Palmas",23788
337,Cullera,Valencia,23753
338,Ciempozuelos,Madrid,23737
339,Calahorra,La Rioja,23708
340,Arteixo,A Coruña,23560
341,Ribarroja del Turia,Valencia,23555
342,Olesa de Montserrat,Cataluña,23543
343,Las Gabias,Granada,23492
344,Castellar del Vallès,Cataluña,23440
345,Pilar de la Horadada,Alicante,23428
346,Moguer,Huelva,23371
347,Torrelodones,Madrid,23128
348,Zarautz,Gipuzkoa,23127
349,San Juan de Aznalfarache,Seville,23112
350,San Miguel de Abona,"Tenerife, Santa Cruz de Tenerife",23007
351,Bormujos,Seville,22983
352,Mejorada del Campo,Madrid,22948
353,Ponteareas,Pontevedra,22854
354,Palafrugell,Cataluña,22763
355,Culleredo,A Coruña,22745
356,El Masnou,Cataluña,22742
357,Barbate,Cádiz,22725
358,Aljaraque,Huelva,22505
359,Guía de Isora,"Tenerife, Santa Cruz de Tenerife",22478
360,Alhama de Murcia,Murcia,22475
361,Maracena,Granada,22370
362,Montilla,Córdoba,22315
363,Castrillón,Asturias,22273
364,Picasent,Valencia,22236
365,Nerja,Málaga,22078
366,Moncada,Valencia,22067
367,Barañáin,Navarre,22017
368,Ayamonte,Huelva,22007
369,Vila-seca,Cataluña,21923
370,Las Torres de Cotillas,Murcia,21907
371,Alfafar,Valencia,21879
372,Almoradí,Alicante,21874
373,Priego de Córdoba,Córdoba,21851
374,Arrasate Mondragón,Gipuzkoa,21827
375,Sant Feliu de Guíxols,Cataluña,21810
376,Esparreguera,Cataluña,21685
377,Isla Cristina,Huelva,21664
378,Alcalá la Real,Jaén,21610
379,Güímar,"Tenerife, Santa Cruz de Tenerife",21558
380,Aspe,Alicante,21473
381,Cartaya,Huelva,21423
382,Torrox,Málaga,21406
383,Tías,"Lanzarote, Las Palmas",21296
384,Laguna de Duero,Valladolid,21258
385,Amposta,Cataluña,21197
386,Pájara,"Fuerteventura, Las Palmas",21130
387,Mogán,"Gran Canaria, Las Palmas",20938
388,Loja,Granada,20814
389,Carcagente,Valencia,20777
390,Puzol,Valencia,20731
391,Alcúdia (Alcudia),"Mallorca, Balearic Islands",20694
392,A Estrada,Pontevedra,20661
393,Palma del Río,Córdoba,20605
394,Huércal-Overa,Almería,20575
395,Baza,Granada,20575
396,La Unión,Murcia,20560
397,Alfaz del Pi,Alicante,20518
398,Atarfe,Granada,20492
399,Hernani,Gipuzkoa,20423
400,Algete,Madrid,20419
401,Requena,Valencia,20387
402,Los Llanos de Aridane,"La Palma, Santa Cruz de Tenerife",20375
403,Villanueva de la Cañada,Madrid,20320
404,Manlleu,Cataluña,20279
405,Vilassar de Mar,Cataluña,20185
406,Lalín,Pontevedra,20103
407,La Zubia,Granada,20077
408,Tolosa,Gipuzkoa,20045
409,Cabra,Córdoba,20016
410,Benicasim,Castellón,19951
411,Chipiona,Cádiz,19915
412,Monforte de Lemos,Lugo,19817
413,O Porriño,Pontevedra,19740
414,Silla,Valencia,19683
415,Humanes de Madrid,Madrid,19607
416,Roses,Cataluña,19600
417,Albolote,Granada,19554
418,Sant Quirze del Vallès,Cataluña,19549
419,Amorebieta-Etxano,Biscay,19540
420,Cambre,A Coruña,19504
421,Archena,Murcia,19492
422,Callosa de Segura,Alicante,19484
423,Moaña,Pontevedra,19448
424,San Bartolomé,"Lanzarote, Las Palmas",19443
425,Arahal,Seville,19437
426,Vera,Almería,19416
427,Marchena,Seville,19399
428,Banyoles,Cataluña,19343
429,El Viso del Alcor,Seville,19318
430,Les Franqueses del Vallès,Cataluña,19170
431,Lasarte-Oria,Gipuzkoa,19103
432,La Eliana,Valencia,19054
433,La Nucía,Alicante,18970
434,San Martín de la Vega,Madrid,18824
435,Ames,A Coruña,18788
436,Parets del Vallès,Cataluña,18733
437,Guadix,Granada,18729
438,Villaquilambre,León,18710
439,Huércal de Almería,Almería,18698
440,Tarifa,Cádiz,18657
441,Santa Brígida,"Gran Canaria, Las Palmas",18598
442,Calatayud,Zaragoza,18531
443,Malgrat de Mar,Cataluña,18417
444,Baena,Córdoba,18360
445,Benavente,Zamora,18315
446,Calella,Cataluña,18307
447,Lora del Río,Seville,18285
448,Felanitx,"Mallorca, Balearic Islands",18211
449,El Astillero ,Cantabria,18120
450,Boiro,A Coruña,18064
451,San Lorenzo de El Escorial,Madrid,18024
452,Manilva,Málaga,17980
453,Laudio Llodio,Álava,17910
454,El Rosario,"Tenerife, Santa Cruz de Tenerife",17905
455,Mungia,Biscay,17865
456,Palamós,Cataluña,17805
457,Nigrán,Pontevedra,17723
458,Manzanares,Ciudad Real,17716
