Name,Population
Abegondo,5772
Ames,18788
Aranga,2379
Ares,4976
Arteixo,23560
Arzúa,6776
A Baña,5141
Bergondo,6264
Betanzos,12575
Boimorto,2551
Boiro,18064
Boqueixón,4261
Brión,6437
Cabana de Bergantiños,5592
Cabanas,3334
Camariñas,6620
Cambre,19504
A Capela,1534
Carballo,28527
Cariño,4861
Carnota,5510
Carral,5290
Cedeira,7572
Cee,7239
Cerceda,5492
Cerdido,1619
Cesuras-Oza,5715
Coirós,1577
Corcubión,2002
Coristanco,8001
A Coruña,242458
Culleredo,22745
Curtis,4451
Dodro,3213
Dumbría,4428
Fene,14638
Ferrol,79520
Fisterra,5132
Frades,3019
Irixoa,1673
A Laracha,10683
Laxe,3557
Lousame,4035
Malpica de Bergantiños,7070
Mañón,1898
Mazaricos,5948
Melide,8383
Mesía,3304
Miño,5044
Moeche,1490
Monfero,2595
Mugardos,5859
Muros,10272
Muxía,6103
Narón,29263
Neda,6074
Negreira,6573
Noia,14391
Oleiros,27453
Ordes,12015
Oroso,5648
Ortigueira,8299
Outes,8398
Paderne,2751
Padrón,9242
O Pino,5016
A Pobra do Caramiñal,10006
Ponteceso,7019
Pontedeume,8860
As Pontes de García Rodríguez,12367
Porto do Son,10085
Rianxo,11747
Ribeira,26343
Rois,5123
Sada,11686
San Sadurniño,3337
Santa Comba,10892
Santiago de Compostela,93273
Santiso,2286
Sobrado,2434
As Somozas,1403
Teo,15331
Toques,1573
Tordoia,4945
Touro,4765
Trazo,3766
Val do Dubra,4802
Valdoviño,6837
Vedra,5054
Vilarmaior,1209
Vilasantar,1211
Vimianzo,6963
Zas,4393
