Name,Population
Allande,1615
Aller,10413
Amieva,628
Avilés,77791
Belmonte de Miranda,1437
Bimenes,1679
Boal,1482
Cabrales,1941
Cabranes,1057
Candamo,1969
Cangas de Onís,6209
Cangas del Narcea,12124
Caravia,469
Carreño,10301
Caso,1457
Castrillón,22273
Castropol,3342
Coaña,3296
Colunga,3205
Corvera de Asturias,15525
Cudillero,4922
Degaña,881
El Franco,3760
Gijón,271717
Gozón,10282
Grado,9703
Grandas de Salime,815
Ibias,1207
Illano,333
Illas,1023
Langreo,39183
Laviana,12882
Lena,10701
Llanera,13695
Llanes,13473
Mieres,37537
Morcín,2555
Muros de Nalón,1887
Nava,5276
Navia,8322
Noreña,5145
Onís,734
Oviedo,219910
Parres,5315
Peñamellera Alta El Valle,498
Peñamellera Baja El Valle,1227
Pesoz,148
Piloña,6875
Ponga,572
Pravia,7984
Proaza,707
Quirós,1187
Las Regueras,1839
Ribadedeva,1741
Ribadesella,5688
Ribera de Arriba,1837
Riosa,1848
Salas,4900
San Martín de Oscos,376
San Martín del Rey Aurelio,15817
San Tirso de Abres,421
Santa Eulalia de Oscos,449
Santo Adriano,273
Sariego,1254
Siero,51509
Sobrescobio,814
Somiedo,1093
Soto del Barco,3800
Tapia de Casariego,3726
Taramundi,602
Teverga,1554
Tineo,9199
Valdés,11394
Vegadeo,3926
Villanueva de Oscos,272
Villaviciosa,14470
Villayón,1180
Yernes y Tameza,133
