Name,Island,Population
Alaior,Menorca,9686
Alaró,Mallorca,5800
Alcúdia (Alcudia),Mallorca,20694
Algaida,Mallorca,6013
Andratx (Andrach),Mallorca,11780
Ariany,Mallorca,906
Artà,Mallorca,8180
Banyalbufar,Mallorca,541
Binissalem,Mallorca,8931
Búger,Mallorca,1089
Bunyola,Mallorca,7115
Calvià,Mallorca,51831
Campanet,Mallorca,2654
Campos,Mallorca,11471
Capdepera,Mallorca,12212
Es Castell,Menorca,7688
Ciutadella de Menorca,Menorca,30766
Consell,Mallorca,4240
Costitx,Mallorca,1398
Deià,Mallorca,686
Eivissa Vila (Ibiza Town),Eivissa,50566
Escorca,Mallorca,183
Esporles,Mallorca,5153
Estellencs,Mallorca,326
Felanitx,Mallorca,18211
Ferreries,Menorca,4903
Formentera,Formentera,11891
Fornalutx,Mallorca,681
Inca,Mallorca,33719
Lloret de Vistalegre,Mallorca,1469
Lloseta,Mallorca,6318
Llubí,Mallorca,2405
Llucmajor (Lluchmayor),Mallorca,38475
Manacor,Mallorca,44878
Mancor de la Vall,Mallorca,1570
Maó (Mahón),Menorca,29648
Maria de la Salut,Mallorca,2235
Marratxí (Marrachí),Mallorca,38351
Es Mercadal,Menorca,5474
Es Migjorn Gran,Menorca,1512
Montuïri (Montuiri),Mallorca,3061
Muro,Mallorca,7547
Palma,Mallorca,424837
Petra,Mallorca,3051
Sa Pobla (La Puebla),Mallorca,14064
Pollença (Pollensa),Mallorca,16903
Porreres,Mallorca,5630
Puigpunyent,Mallorca,2073
Ses Salines (Las Salinas),Mallorca,5021
Sant Antoni de Portmany,Eivissa,27582
Sant Joan (San Juan),Mallorca,2173
Sant Joan de Labritja,Eivissa,6610
Sant Josep de sa Talaia (San José),Eivissa,29015
Sant Llorenç des Cardassar,Mallorca,9058
Sant Lluís,Menorca,7056
Santa Eugènia,Mallorca,1774
Santa Eulària del Riu (Santa Eulalia del Río),Eivissa,40413
Santa Margalida (Santa Margarita),Mallorca,12830
Santa Maria del Camí (Santa María del Camino),Mallorca,7526
Santanyí,Mallorca,12364
Selva,Mallorca,4113
Sencelles (Sancellas),Mallorca,3616
Sineu,Mallorca,4156
Sóller,Mallorca,13621
Son Servera,Mallorca,12072
Valldemossa,Mallorca,2047
Vilafranca de Bonany,Mallorca,3553
