Name,Population
Alfoz de Lloredo ,2446
Ampuero ,4222
Anievas ,291
Arenas de Iguña ,1690
Argoños ,1713
Arnuero ,2098
Arredondo ,472
El Astillero ,18120
Bárcena de Cicero ,4132
Bárcena de Pie de Concha ,687
Bareyo ,1987
Cabezón de la Sal ,8326
Cabezón de Liébana ,595
Cabuérniga ,1001
Camaleño ,970
Camargo ,30556
Campoo de Enmedio ,3757
Campoo de Yuso ,682
Cartes ,5742
Castañeda ,2744
Castro-Urdiales ,31817
Cieza ,536
Cillorigo de Liébana ,1320
Colindres ,8288
Comillas ,2195
Los Corrales de Buelna ,10912
Corvera de Toranzo ,2055
Entrambasaguas ,3757
Escalante ,749
Guriezo ,2358
Hazas de Cesto ,1550
Hermandad de Campoo de Suso ,1612
Herrerías ,623
Lamasón ,302
Laredo ,11347
Liendo ,1216
Liérganes ,2355
Limpias ,1824
Luena ,611
Marina de Cudeyo ,5147
Mazcuerras ,2125
Medio Cudeyo ,7459
Meruelo ,1985
Miengo ,4676
Miera ,393
Molledo ,1585
Noja ,2553
Penagos ,2083
Peñarrubia ,332
Pesaguero ,298
Pesquera ,68
Piélagos ,24918
Polaciones ,239
Polanco ,5850
Potes ,1342
Puente Viesgo ,2843
Ramales de la Victoria ,2895
Rasines ,966
Reinosa ,9331
Reocín ,8312
Ribamontán al Mar ,4426
Ribamontán al Monte ,2223
Rionansa ,1045
Riotuerto ,1615
Las Rozas de Valdearroyo ,264
Ruente ,1031
Ruesga ,870
Ruiloba ,748
San Felices de Buelna ,2421
San Miguel de Aguayo ,154
San Pedro del Romeral ,452
San Roque de Riomiera ,380
San Vicente de la Barquera ,4173
Santa Cruz de Bezana ,12818
Santa María de Cayón ,9095
Santander ,171951
Santillana del Mar ,4154
Santiurde de Reinosa ,254
Santiurde de Toranzo ,1610
Santoña ,11004
Saro ,515
Selaya ,1915
Soba ,1207
Solórzano ,1040
Suances ,8645
Los Tojos ,402
Torrelavega ,52034
Tresviso ,70
Tudanca ,145
Udías ,903
Val de San Vicente ,2804
Valdáliga ,2218
Valdeolea ,994
Valdeprado del Río ,323
Valderredible ,987
Valle de Villaverde ,306
Vega de Liébana ,765
Vega de Pas ,784
Villacarriedo ,1626
Villaescusa ,3883
Villafufre ,1014
Voto ,2716
