Name,Population
Alcalá de los Gazules,5231
Alcalá del Valle,4932
Algar,1445
Algeciras,125047
Algodonales,5437
Arcos de la Frontera,31055
Barbate,22725
Los Barrios,24540
Benalup-Casas Viejas,7272
Benaocaz,761
Bornos,7532
El Bosque,2249
Cádiz†,111180
Castellar de la Frontera,2990
Chiclana de la Frontera,89805
Chipiona,19915
Conil de la Frontera,24042
Espera,3776
El Gastor,1706
Grazalema,2007
Jerez de la Frontera,214844
Jimena de la Frontera,6788
La Línea de la Concepción,64987
Medina Sidonia,11806
Olvera,7849
Paterna de Rivera,5516
Prado del Rey,5702
El Puerto de Santa María,90423
Puerto Real,42095
Puerto Serrano,6891
Rota,29960
San Fernando,93793
San José del Valle,4469
Sanlúcar de Barrameda,69887
San Martín del Tesorillo,2754
San Roque,34617
Setenil de las Bodegas,2636
Tarifa,18657
Torre Alháquime,800
Trebujena,7051
Ubrique,16441
Vejer de la Frontera,13041
Villaluenga del Rosario,467
Villamartín,12249
Zahara,1360
