Name,Population
Adamuz,4088
Aguilar de la Frontera,13185
Alcaracejos,1502
Almedinilla,2325
Almodóvar del Río,7981
Añora,1507
Baena,18360
Belalcázar,3096
Belmez,2847
Benamejí,4910
Los Blázquez,635
Bujalance,7145
Cabra,20016
Cañete de las Torres,2797
Carcabuey,2308
Cardeña,1425
La Carlota,14377
El Carpio,4323
Castro del Río,7614
Conquista,371
Córdoba†,324902
Doña Mencía,4478
Dos Torres,2379
Encinas Reales,2238
Espejo,3178
Espiel,2338
Fernán-Núñez,9635
Fuente Carreteros,1065
Fuente la Lancha,388
Fuente Obejuna,4357
Fuente Palmera,10001
Fuente-Tójar,676
La Granjuela,412
Guadalcázar,1549
La Guijarrosa,1359
El Guijo,344
Hinojosa del Duque,6543
Hornachuelos,4388
Iznájar,3742
Lucena,43040
Luque,2817
Montalbán de Córdoba,4435
Montemayor,3896
Montilla,22315
Montoro,9034
Monturque,1935
Moriles,3640
Nueva Carteya,5312
Obejo,2090
Palenciana,1432
Palma del Río,20605
Pedro Abad,2825
Pedroche,1456
Peñarroya-Pueblonuevo,10280
Posadas,7222
Pozoblanco,16908
Priego de Córdoba,21851
Puente Genil,29879
La Rambla,7466
Rute,9753
San Sebastián de los Ballesteros,854
Santaella,4679
Santa Eufemia,710
Torrecampo,1000
Valenzuela,1041
Valsequillo,361
La Victoria,2328
Villa del Río,6872
Villafranca de Córdoba,4875
Villaharta,626
Villanueva de Córdoba,8371
Villanueva del Duque,1406
Villanueva del Rey,1013
Villaralto,1075
Villaviciosa de Córdoba,3060
El Viso,2511
Zuheros,606
