Name,Population
Abaltzisketa,326
Aduna,505
Aia,2135
Aizarnazabal,771
Albiztur,325
Alegia,1768
Alkiza,370
Altzaga,173
Altzo,447
Amezketa,937
Andoain,14526
Anoeta,2092
Antzuola,2082
Arama,189
Aretxabaleta,7150
Arrasate/Mondragón,21827
Asteasu,1544
Astigarraga,7661
Ataun,1690
Azkoitia,11608
Azpeitia,15133
Baliarrain,149
Beasain,13908
Beizama,133
Belauntza,286
Berastegi,1082
Bergara,14496
Berrobi,582
Bidania-Goiatz,538
Deba,5380
Donostia-San Sebastián†,188136
Eibar,27179
Elduain,237
Elgeta,1119
Elgoibar,11479
Errenteria,39134
Errezil,583
Eskoriatza,4187
Eskio-Itsaso,604
Gabiria,504
Gaintza,124
Gaztelu,170
Getaria,2870
Hernani,20423
Hernialde,312
Hondarribia,16888
Ibarra,4126
Idiazabal,2274
Ikaztegieta,486
Irun,62853
Irura,1888
Itsasondo,654
Larraul,257
Lasarte-Oria,19103
Lazkao,5981
Leaburu-Txarama,392
Legazpi,8329
Legorreta,1460
Leintz-Gatzaga,194
Lezo,6015
Lizartza,637
Mendaro,2008
Mutiloa,262
Mutriku,5302
Oiartzun,10310
Olaberria,916
Oñati,11549
Ordizia,10580
Orendain,240
Orexa,109
Orio,6122
Ormaiztegi,1226
Pasaia,16071
Segura,1461
Soraluze-Placencia de las Armas,3742
Tolosa,20045
Urnieta,6196
Urretxu,6733
Usurbil,6341
Villabona,5812
Zaldibia,1734
Zarautz,23127
Zegama,1540
Zerain,282
Zestoa,3777
Zizurkil,2967
Zumaia,10189
Zumarraga,9660
