Name,Population
Agrón,244
Alamedilla,546
Albolote,19554
Albondón,731
Albuñán,424
Albuñol,7405
Albuñuelas,794
Aldeire,591
Alfacar,5813
Algarinejo,2331
Alhama de Granada,5649
Alhendín,10424
Alicún de Ortega,456
Almegíjar,328
Almuñécar,27699
Alpujarra de la Sierra,962
Alquife,545
Arenas del Rey,615
Armilla,25350
Atarfe,20492
Baza,20575
Beas de Granada,1010
Beas de Guadix,316
Benalúa,3344
Benalúa de las Villas,1024
Benamaurel,2247
Bérchules,698
Bubión,315
Busquístar,313
Cacín,535
Cádiar,1534
Cájar,5488
La Calahorra,678
Calicasas,665
Campotéjar,1250
Caniles,3928
Cáñar,401
Capileira,578
Carataunas,227
Cástaras,215
Castilléjar,1300
Castril,1969
Cenes de la Vega,8343
Chauchina,5798
Chimeneas,1241
Churriana de la Vega,16706
Cijuela,3729
Cogollos de Guadix,635
Cogollos de la Vega,2097
Colomera,1284
Cortes de Baza,1795
Cortes y Graena,967
Cuevas del Campo,1802
Cúllar,3937
Cúllar Vega,7818
Darro,1700
Dehesas de Guadix,383
Dehesas Viejas,641
Deifontes,2620
Diezma,819
Dílar,2322
Dólar,606
Domingo Pérez de Granada,835
Dúdar,376
Dúrcal,7218
Escúzar,843
Ferreira,303
Fonelas,964
Fornes,532
Freila,947
Fuente Vaqueros,4633
Las Gabias,23492
Galera,1107
Gobernador,239
Gójar,6334
Gor,763
Gorafe,372
Granada†,233532
Guadahortuna,1846
Guadix,18729
Los Guájares,1136
Gualchos,5297
Güéjar Sierra,2944
Güevéjar,2693
Huélago,371
Huéneja,1189
Huéscar,7232
Huétor de Santillán,1944
Huétor Tájar,10670
Huétor Vega,12279
Íllora,9908
Ítrabo,994
Iznalloz,5172
Játar,616
Jayena,996
Jérez del Marquesado,982
Jete,996
Jun,4174
Juviles,148
Láchar,3805
Lanjarón,3678
Lanteira,544
Lecrín,2274
Lentegí,353
Lobras,136
Loja,20814
Lugros,311
Lújar,493
La Malahá,1881
Maracena,22370
Marchal,430
Moclín,3538
Molvízar,2768
Monachil,8591
Montefrío,5282
Montejícar,2030
Montillana,1058
Moraleda de Zafayona,3140
Morelábor,588
Motril,59867
Murtas,442
Nevada,1099
Nigüelas,1234
Nívar,1069
Ogíjares,15047
Orce,1146
Órgiva,5747
Otívar,1049
Padul,9536
Pampaneira,316
Pedro Martínez,1146
Peligros,11661
La Peza,1114
El Pinar,873
Pinos Genil,1643
Pinos Puente,9722
Píñar,1076
Polícar,266
Polopos,1671
Pórtugos,388
Puebla de Don Fadrique,2203
Pulianas,5653
Purullena,2358
Quéntar,949
Rubite,434
Salar,2602
Salobreña,12608
Santa Cruz del Comercio,512
Santa Fe,15301
Soportújar,283
Sorvilán,510
La Taha,789
Torre-Cardela,714
Torrenueva Costa,3121
Torvizcón,620
Trevélez,703
Turón,215
Ugíjar,2572
Valderrubio,2078
El Valle,947
Valle del Zalabí,2118
Válor,673
Vegas del Genil,12323
Vélez de Benaudalla,3041
Ventas de Huelma,676
Villa de Otura,7600
Villamena,1005
Villanueva de las Torres,520
Villanueva Mesía,1980
Víznar,996
Zafarraya,2239
Zagra,890
La Zubia,20077
Zújar,2623
