Name,Population
Abiego,277
Abizanda,128
Adahuesca,162
Agüero,165
Aínsa-Sobrarbe,1826
Aisa,411
Albalate de Cinca,1189
Albalatillo,265
Albelda,877
Albero Alto,122
Albero Bajo,96
Alberuela de Tubo,370
Alcalá de Gurrea,282
Alcalá del Obispo,364
Alcampell,846
Alcolea de Cinca,1252
Alcubierre,437
Alerre,228
Alfántega,120
Almudévar,2395
Almunia de San Juan,650
Almuniente,570
Alquézar,312
Altorricón,1462
Angüés,417
Ansó,525
Antillón,163
Aragüés del Puerto,150
Arén,353
Argavieso,135
Arguis,80
Ayerbe,1097
Azanuy-Alins,180
Azara,197
Azlor,150
Baélls,128
Bailo,246
Baldellou,130
Ballobar,1008
Banastás,241
Barbastro,15778
Barbués,109
Barbuñales,112
Bárcabo,104
Belver de Cinca,1386
Benabarre,1114
Benasque,2088
Berbegal,466
Bielsa,499
Bierge,244
Biescas,1485
Binaced,1625
Binéfar,8890
Bisaurri,248
Biscarrués,215
Blecua y Torres,191
Boltaña,917
Bonansa,105
Borau,72
Broto,528
Caldearenas,252
Campo,291
Camporrélls,233
Canal de Berdún,414
Candasnos,459
Canfranc,611
Capdesaso,157
Capella,399
Casbas de Huesca,294
Castejón de Monegros,656
Castejón de Sos,755
Castejón del Puente,423
Castelflorite,131
Castiello de Jaca,219
Castigaleu,115
Castillazuelo,227
Castillonroy,406
Colungo,135
Chalamera,147
Chía,118
Chimillas,304
Esplús,750
Estada,212
Estadilla,877
Estopiñán del Castillo,250
Fago,37
Fanlo,171
Fiscal,272
Fonz,1082
Foradada del Toscar,220
Fraga,13284
La Fueva,614
Gistaín,160
El Grado,517
Grañén,1990
Graus,3424
Gurrea de Gállego,1761
Hoz de Jaca,74
Hoz y Costean,233
Huerto,249
Huesca,48530
Ibieca,114
Igriés,415
Ilche,263
Isábena,281
Jaca,12553
Jasa,124
Labuerda,171
Laluenga,247
Lalueza,1142
Lanaja,1478
Laperdiguera,105
Lascellas-Ponzano,166
Lascuarre,147
Laspaúles,282
Laspuña,276
Loarre,393
Loporzano,528
Loscorrales,114
Lupiñén-Ortilla,343
Monesma y Cajigar,109
Monflorite-Lascasas,229
Montanuy,308
Monzón,15806
Naval,302
Novales,191
Nueno,433
Olvena,67
Ontiñena,621
Osso de Cinca,758
Palo,37
Panticosa,731
Peñalba,727
Las Peñas de Riglos,297
Peralta de Alcofea,667
Peralta de Calasanz,265
Peraltilla,177
Perarrúa,117
Pertusa,131
Piracés,106
Plan,319
Poleñino,246
Pozán de Vero,257
La Puebla de Castro,373
Puente de Montañana,99
Puente la Reina de Jaca,239
Puértolas,230
El Pueyo de Araguás,160
Pueyo de Santa Cruz,334
Quicena,228
Robres,659
Sabiñánigo,9023
Sahún,233
Salas Altas,349
Salas Bajas,151
Salillas,120
Sallent de Gállego,1316
San Esteban de Litera,541
San Juan de Plan,149
San Miguel del Cinca,878
Sangarrén,263
Santa Cilia,189
Santa Cruz de la Serós,151
Santa María de Dulcis,214
Santaliestra y San Quílez,114
Sariñena,4021
Secastilla,142
Seira,173
Sena,552
Senés de Alcubierre,50
Sesa,241
Sesué,124
Siétamo,551
Sopeira,98
La Sotonera,1085
Tamarite de Litera,3655
Tardienta,1069
Tella-Sin,272
Tierz,403
Tolva,183
Torla,318
Torralba de Aragón,122
Torre la Ribera,119
Torrente de Cinca,1047
Torres de Alcanadre,124
Torres de Barbués,321
Tramaced,107
Valfarta,100
Valle de Bardají,54
Valle de Hecho,973
Valle de Lierp,49
Velilla de Cinca,456
Vencillón,435
Veracruz,112
Viacamp y Litera,26
Vicién,113
Villanova,122
Villanúa,435
Villanueva de Sigena,526
Yebra de Basa,160
Yésero,80
Zaidín,1795
