Name,Population
Abadín,3342
Alfoz,2398
Antas de Ulla,2719
Baleira,1845
Baralla,3279
Barreiros,3357
Becerreá,3532
Begonte,3748
Bóveda,1974
Burela,8176
Carballedo,3121
Castro de Rei,5966
Castroverde,3418
Cervantes,2135
Cervo,5016
O Corgo,4224
Cospeito,5706
Chantada,9695
Folgoso do Courel,1510
A Fonsagrada,5146
Foz,9612
Friol,4729
Guitiriz,6249
Guntín,3453
O Incio,2455
Láncara,3235
Lourenzá,2779
Lugo,89509
Meira,1816
Mondoñedo,4987
Monforte de Lemos,19817
Monterroso,4253
Muras,1067
Navia de Suarna,1869
Negueira de Muñiz,233
As Nogais,1547
Ourol,1465
Outeiro de Rei,4333
Palas de Rei,4135
Pantón,3377
Paradela,2552
O Páramo,1925
A Pastoriza,3975
Pedrafita do Cebreiro,1562
A Pobra do Brollón,2572
Pol,2072
A Pontenova,3261
Portomarín,2035
Quiroga,4209
Rábade,1583
Ribadeo,9163
Ribas de Sil,1406
Ribeira de Piquín,842
Riotorto,1830
Samos,2073
Sarria,13053
O Saviñao,5000
Sober,3009
Taboada,4077
Trabada,1616
Triacastela,882
O Valadouro,2371
O Vicedo,2303
Vilalba,15520
Viveiro,15444
Xermade,2595
Xove,3625
