Name,Population
Ajalvir,4455
Alameda del Valle,200
Alcalá de Henares,194310
Alcobendas,114864
Alcorcón,168141
Aldea del Fresno,2616
Algete,20419
Alpedrete,14240
Ambite,677
Anchuelo,1238
Aranjuez,58213
Arganda del Rey,53821
Arroyomolinos,29128
Batres,1610
Becerril de la Sierra,5457
Belmonte de Tajo,1628
Berzosa del Lozoya,203
Boadilla del Monte,51463
Braojos,208
Brea de Tajo,539
Brunete,10373
Buitrago del Lozoya,1854
Bustarviejo,2399
Cabanillas de la Sierra,712
Cadalso de los Vidrios,3053
Camarma de Esteruelas,7084
Campo Real,5995
Canencia,448
Carabaña,1940
Casarrubuelos,3650
Cenicientos,1984
Cercedilla,6853
Cervera de Buitrago,156
Chapinería,2225
Chinchón,5240
Ciempozuelos,23737
Cobeña,7163
Colmenar de Oreja,7810
Colmenar del Arroyo,1632
Colmenar Viejo,48614
Colmenarejo,9015
Collado Mediano,6666
Collado Villalba,62152
Corpa,684
Coslada,83011
Cubas de la Sagra,6112
Daganzo de Arriba,10082
El Álamo,9149
El Atazar,97
El Berrueco,743
El Boalo,7358
El Escorial,15562
El Molar,8491
El Vellón,1834
Estremera,1261
Fresnedillas de la Oliva,1550
Fresno de Torote,2115
Fuenlabrada,194669
Fuente el Saz de Jarama,6424
Fuentidueña de Tajo,1980
Galapagar,32903
Garganta de los Montes,331
Gargantilla del Lozoya y Pinilla de Buitrago,315
Gascones,176
Getafe,178288
Griñón,10060
Guadalix de la Sierra,6049
Guadarrama,15620
Horcajo de la Sierra,142
Horcajuelo de la Sierra,88
Hoyo de Manzanares,8032
Humanes de Madrid,19607
La Acebeda,66
La Cabrera,2570
La Hiruela,52
La Serna del Monte,73
Las Rozas de Madrid,95071
Leganés,187720
Loeches,8525
Los Molinos,4345
Los Santos de la Humosa,2486
Lozoya,559
Lozoyuela-Navas-Sieteiglesias,1237
Madarcos,46
Madrid,3182981
Majadahonda,71299
Manzanares el Real,8500
Meco,13570
Mejorada del Campo,22948
Miraflores de la Sierra,5817
Montejo de la Sierra,356
Moraleja de Enmedio,4870
Moralzarzal,12496
Morata de Tajuña,7482
Móstoles,206589
Navacerrada,2894
Navalafuente,1340
Navalagamella,2443
Navalcarnero,27570
Navarredonda y San Mamés,131
Navas del Rey,2751
Nuevo Baztán,6091
Olmeda de las Fuentes,332
Orusco de Tajuña,1218
Paracuellos de Jarama,23905
Parla,125898
Patones,553
Pedrezuela,5613
Pelayos de la Presa,2468
Perales de Tajuña,2817
Pezuela de las Torres,816
Pinilla del Valle,185
Pinto,50442
Piñuécar-Gandullas,183
Pozuelo de Alarcón,85605
Pozuelo del Rey,1099
Prádena del Rincón,132
Puebla de la Sierra,61
Puentes Viejas,632
Quijorna,3282
Rascafría,1672
Redueña,248
Ribatejada,702
Rivas-Vaciamadrid,83767
Robledillo de la Jara,87
Robledo de Chavela,4073
Robregordo,44
Rozas de Puerto Real,534
San Agustín del Guadalix,13103
San Fernando de Henares,39681
San Lorenzo de El Escorial,18024
San Martín de la Vega,18824
San Martín de Valdeiglesias,8298
San Sebastián de los Reyes,86707
Santa María de la Alameda,1163
Santorcaz,856
Serranillos del Valle,3967
Sevilla la Nueva,9093
Somosierra,77
Soto del Real,8607
Talamanca de Jarama,3573
Tielmes,2610
Titulcia,1274
Torrejón de Ardoz,128013
Torrejón de la Calzada,8418
Torrejón de Velasco,4261
Torrelaguna,4712
Torrelodones,23128
Torremocha de Jarama,942
Torres de la Alameda,7825
Tres Cantos,46046
Valdaracete,643
Valdeavero,1450
Valdelaguna,867
Valdemanco,916
Valdemaqueda,768
Valdemorillo,12300
Valdemoro,73976
Valdeolmos-Alalpardo,3906
Valdepiélagos,587
Valdetorres de Jarama,4316
Valdilecha,2755
Valverde de Alcalá,427
Velilla de San Antonio,12111
Venturada,2032
Villa del Prado,6337
Villaconejos,3350
Villalbilla,13038
Villamanrique de Tajo,694
Villamanta,2491
Villamantilla,1382
Villanueva de la Cañada,20320
Villanueva de Perales,1519
Villanueva del Pardillo,17025
Villar del Olmo,1997
Villarejo de Salvanés,7245
Villaviciosa de Odón,27504
Villavieja del Lozoya,267
Zarzalejo,1596
