Name,Island,Population
Adeje,Tenerife,50523
Arafo,Tenerife,5760
Arico,Tenerife,9049
Arona,Tenerife,86497
Buenavista del Norte,Tenerife,4720
Candelaria,Tenerife,28876
Fasnia,Tenerife,2991
Garachico,Tenerife,4975
Granadilla de Abona,Tenerife,55505
La Guancha,Tenerife,5562
Guía de Isora,Tenerife,22478
Güímar,Tenerife,21558
Icod de los Vinos,Tenerife,24117
La Matanza de Acentejo,Tenerife,9114
La Orotava,Tenerife,42667
Puerto de la Cruz,Tenerife,31396
Los Realejos,Tenerife,37543
El Rosario,Tenerife,17905
San Cristóbal de La Laguna,Tenerife,159576
San Juan de la Rambla,Tenerife,4939
San Miguel de Abona,Tenerife,23007
Santa Cruz de Tenerife,Tenerife,208906
Santa Úrsula,Tenerife,15282
Santiago del Teide,Tenerife,12072
El Sauzal,Tenerife,9161
Los Silos,Tenerife,4677
Tacoronte,Tenerife,24701
El Tanque,Tenerife,2810
Tegueste,Tenerife,11375
La Victoria de Acentejo,Tenerife,9223
Vilaflor de Chasna,Tenerife,1850
Barlovento,La Palma,1992
Breña Alta,La Palma,7315
Breña Baja,La Palma,5966
Fuencaliente de la Palma,La Palma,1849
Garafía,La Palma,1949
Los Llanos de Aridane,La Palma,20375
El Paso,La Palma,7972
Puntagorda,La Palma,2380
Puntallana,La Palma,2612
San Andrés y Sauces,La Palma,4301
Santa Cruz de la Palma,La Palma,15522
Tazacorte,La Palma,4535
Tijarafe,La Palma,2632
Villa de Mazo,La Palma,4938
Agulo,La Gomera,1123
Alajeró,La Gomera,2066
Hermigua,La Gomera,1943
San Sebastián de la Gomera,La Gomera,9584
Valle Gran Rey,La Gomera,4705
Vallehermoso,La Gomera,2940
Frontera,El Hierro,4483
El Pinar,El Hierro,2027
Valverde,El Hierro,5149
