Name,Population
Ademuz,1004
Ador,1699
Agullent,2400
Ayelo de Malferit,4601
Ayelo de Rugat,163
Alacuás,29825
Albaida,6102
Albal,17024
Albalat de la Ribera,3411
Albalat dels Sorells,4518
Albalat de Taronchers,1428
Alberique,10815
Alborache,1389
Alboraya,25792
Albuixech,4343
Alcántara de Júcar,1414
Alcácer,10575
Alcublas,635
La Alcudia,12197
Alcudia de Crespins,5361
Aldaya,33376
Alfafar,21879
Alfara de la Baronía,611
Alfara del Patriarca,3455
Alfarp,1618
Alfarrasí,1183
Alfahuir,477
Algar de Palancia,527
Algemesí,27438
Algimia de Alfara,1109
Alginet,14442
Almácera,7504
Almiserat,279
Almoines,2519
Almusafes,8996
Alpuente,667
Alquería de la Condesa,1523
Alcira,46421
Andilla,331
Anna,2593
Antella,1114
Aras de los Olmos,381
Adzaneta de Albaida,1161
Ayora,5223
Bárig,1476
Barcheta,1545
Bélgida,632
Bellreguard,4811
Bellús,306
Benagéber,168
Benaguacil,11877
Benavites,674
Benegida,655
Benetúser,15879
Beniarjó,1872
Beniatjar,217
Benicolet,599
Benicull,1134
Benifayó,11984
Benifairó de la Valldigna,1554
Benifairó de les Valls,2320
Beniflá,484
Benigánim,5716
Benimodo,2279
Benimuslem,665
Beniparrell,2074
Benirredrá,1571
Benisanó,2385
Benisoda,460
Benisuera,185
Bétera,26759
Bicorb,549
Bocairente,4115
Bolbaite,1334
Bonrepós y Mirambell,3907
Bufali,156
Bugarra,783
Buñol,9579
Burjasot,39702
Calles,431
Camporrobles,1181
Canals,13162
Canet de Berenguer,7265
Carcagente,20777
Cárcer,1826
Carlet,16141
Carrícola,102
Casas Altas,146
Casas Bajas,173
Casinos,3091
Villanueva de Castellón,6891
Castellón de Rugat,2322
Castellonet,149
Castielfabib,297
Catadau,2939
Catarroja,29316
Caudete de las Fuentes,693
Cerdá,360
Chella,2445
Chelva,1645
Chera,483
Cheste,8962
Chiva,16750
Chulilla,687
Cofrentes,1130
Corbera,3118
Cortes de Pallás,753
Cotes,314
Cullera,23753
Daimuz,3348
Domeño,684
Dos Aguas,340
La Eliana,19054
Emperador,717
Enguera,4718
Énova,914
Estivella,1598
Estubeny,114
Faura,3619
Favara,2664
Foyos,7641
Fuente Encarroz,3858
Fuente la Higuera,2031
Fontanares,951
Fortaleny,1004
Fuenterrobles,688
Gandía,78108
Gátova,410
Gavarda,1058
Genovés,2778
Gestalgar,569
Gilet,3818
Godella,13414
Godelleta,4148
La Granja de la Costera,288
Guadasequies,480
Guadasuar,5961
Guardamar de la Safor,605
Higueruelas,522
Jalance,810
Jarafuel,765
Llanera de Ranes,1054
Llaurí,1208
Liria,24518
Lugar Nuevo de la Corona,124
Lugar Nuevo de San Jerónimo,567
Lugar Nuevo de Fenollet,908
Llombay,2687
Llosa de Ranes,3681
Luchente,2324
Loriguilla,2171
La Losa del Obispo,520
Macastre,1437
Manises,31573
Manuel,2500
Marines,1955
Masalavés,1739
Masalfasar,2609
Masamagrell,16766
Masanasa,10146
Meliana,10918
Millares,330
Miramar,2978
Mislata,45644
Mogente,4383
Moncada,22067
Montaberner,1617
Montesa,1132
Montichelvo,558
Montroy,3295
Monserrat,9312
Museros,6741
Náquera,8102
Navarrés,3061
Novelé,856
Oliva,25558
Ollería,8421
Olocau,2303
Onteniente,36194
Otos,436
Paiporta,27184
Palma de Gandía,1735
Palmera,1043
El Palomar,574
Paterna,73488
Pedralba,3048
Petrés,1096
Picaña,11760
Picasent,22236
Piles,3031
Pinet,155
Puebla de Farnals,8699
Puebla de Vallbona,26435
Puebla del Duc,2438
Puebla Larga,4529
Poliñá de Júcar,2550
Potríes,1080
Puzol,20731
Puebla de San Miguel,53
El Puig de Santa María,8992
Cuart de les Valls,1050
Cuart de Poblet,25590
Cuartell,1672
Cuatretonda,2190
Quesa,661
Rafelbuñol,9467
Rafelcofer,1372
Rafelguaraf,2351
Ráfol de Salem,467
Real,2410
Real de Gandía,2649
Requena,20387
Ribarroja del Turia,23555
Riola,1780
Rocafort,7570
Rotglá y Corbera,1165
Rótova,1292
Rugat,166
Sagunto,70128
Salem,401
San Antonio de Benagéber,10200
San Juan de Énova,544
Sedaví,10637
Segart,166
Sellent,381
Sempere,31
Señera,1122
Serra,3608
Siete Aguas,1229
Silla,19683
Simat de Valldigna,3251
Sinarcas,1113
Sollana,4959
Sot de Chera,423
Sueca,28086
Sumacárcel,1062
Tabernes Blanques,9456
Tabernes de Valldigna,17443
Teresa de Cofrentes,611
Terrateig,291
Titaguas,505
Torrebaixa,404
Torrella,143
Torrente,87295
Torres Torres,745
Tous,1352
Tuéjar,1201
Turís,7259
Utiel,11632
Valencia,807693
Vallada,3063
Vallanca,144
Vallés,151
Venta del Moro,1164
Villalonga,4667
Villamarchante,10772
Villar del Arzobispo,3700
Villargordo del Cabriel,577
Vinalesa,3495
Játiva,30072
Jaraco,5923
Jeresa,2263
Chirivella,30749
Yátova,2205
La Yesa,235
Zarra,364
