Name,Population
Alegría-Dulantzi,2969
Amurrio,10299
Añana,156
Aramaio,1409
Armiñón,233
Arraia-Maeztu,812
Arrazua-Ubarrundia,1042
Asparrena,1607
Artziniega,1832
Ayala/Aiara,2918
Baños de Ebro/Mañueta,298
Barrundia,895
Berantevilla,458
Bernedo,539
Campezo/Kanpezu,1079
Elburgo/Burgelu,637
Elciego,968
Elvillar/Bilar,314
Harana/Valle de Arana,218
Iruña Oka/Iruña de Oca,3600
Iruraiz-Gauna,540
Kripan,176
Kuartango,401
Labastida/Bastida,1577
Lagrán,172
Laguardia,1486
Lanciego/Lantziego,708
Lantarón,937
Lapuebla de Labarca,869
Laudio/Llodio,17910
Legutiano,2043
Leza,220
Moreda de Álava,208
Navaridas,198
Okondo,1196
Oyón-Oion,3462
Peñacerrada-Urizaharra,303
Erriberagoitia/Ribera Alta,826
Ribera Baja/Erribera Beitia,1430
Salvatierra/Agurain,5078
Samaniego,305
San Millán/Donemiliaga,730
Urkabustaiz,1434
Valdegovía/Gaubea,1064
Villabuena de Álava/Eskuernaga,284
Vitoria-Gasteiz†,255423
Yécora/Iekora,250
Zalduondo,196
Zambrana,423
Zigoitia,1819
Zuia,2357
