Name,Population
Adanero,215
La Adrada,2835
Albornos,175
Aldeanueva de Santa Cruz,101
Aldeaseca,204
La Aldehuela,145
Amavida,133
El Arenal,988
Arenas de San Pedro,6470
Arevalillo,59
Arévalo,7858
Aveinte,73
Avellaneda,23
Ávila†,59119
El Barco de Ávila,2307
El Barraco,2022
Barromán,175
Becedas,155
Becedillas,69
Bercial de Zapardiel,173
Las Berlanas,323
Bernuy-Zapardiel,87
Berrocalejo de Aragona,56
Blascomillán,168
Blasconuño de Matacabras,14
Blascosancho,98
El Bohodón,112
Bohoyo,215
Bonilla de la Sierra,163
Brabos,37
Bularros,55
Burgohondo,1256
Cabezas de Alambre,154
Cabezas del Pozo,83
Cabezas del Villar,239
Cabizuela,89
Canales,35
Candeleda,5027
Cantiveros,99
Cardeñosa,422
La Carrera,160
Casas del Puerto,82
Casasola,65
Casavieja,1404
Casillas,669
Castellanos de Zapardiel,112
Cebreros,3251
Cepeda la Mora,67
Chamartín,63
Cillán,78
Cisla,104
La Colilla,371
Collado de Contreras,147
Collado del Mirón,21
Constanzana,99
Crespos,485
Cuevas del Valle,518
Diego del Carpio,106
Donjimeno,72
Donvidas,35
Espinosa de los Caballeros,99
Flores de Ávila,273
Fontiveros,727
Fresnedilla,98
El Fresno,603
Fuente el Saúz,152
Fuentes de Año,88
Gallegos de Altamiros,59
Gallegos de Sobrinos,44
Garganta del Villar,39
Gavilanes,529
Gemuño,145
Gilbuena,47
Gil García,48
Gimialcón,76
Gotarrendura,166
Grandes y San Martín,35
Guisando,478
Gutierre-Muñoz,65
Hernansancho,142
Herradón de Pinares,523
Herreros de Suso,148
Higuera de las Dueñas,269
La Hija de Dios,77
La Horcajada,454
Horcajo de las Torres,438
El Hornillo,280
Hoyocasero,310
El Hoyo de Pinares,2184
Hoyorredondo,61
Hoyos del Collado,29
Hoyos del Espino,358
Hoyos de Miguel Muñoz,26
Hurtumpascual,44
Junciana,40
Langa,459
Lanzahíta,824
El Losar del Barco,104
Los Llanos de Tormes,63
Madrigal de las Altas Torres,1301
Maello,704
Malpartida de Corneja,90
Mamblas,196
Mancera de Arriba,71
Manjabálago y Ortigosa de Rioalmar,23
Marlín,30
Martiherrero,360
Martínez,109
Mediana de Voltoya,117
Medinilla,78
Mengamuñoz,54
Mesegar de Corneja,67
Mijares,730
Mingorría,407
El Mirón,98
Mironcillo,113
Mirueña de los Infanzones,95
Mombeltrán,916
Monsalupe,59
Moraleja de Matacabras,53
Muñana,498
Muñico,80
Muñogalindo,300
Muñogrande,79
Muñomer del Peco,111
Muñopepe,104
Muñosancho,88
Muñotello,49
Narrillos del Álamo,57
Narrillos del Rebollar,34
Narros del Castillo,153
Narros del Puerto,29
Narros de Saldueña,106
Navacepedilla de Corneja,99
Nava de Arévalo,662
Nava del Barco,83
Navadijos,28
Navaescurial,57
Navahondilla,355
Navalacruz,210
Navalmoral,400
Navalonguilla,184
Navalosa,322
Navalperal de Pinares,824
Navalperal de Tormes,77
Navaluenga,2177
Navaquesera,43
Navarredonda de Gredos,454
Navarredondilla,160
Navarrevisca,301
Las Navas del Marqués,5593
Navatalgordo,238
Navatejares,50
Neila de San Miguel,62
Niharra,190
Ojos-Albos,98
Orbita,71
El Oso,129
Padiernos,275
Pajares de Adaja,137
Palacios de Goda,402
Papatrigo,221
El Parral,65
Pascualcobo,39
Pedro Bernardo,773
Pedro-Rodríguez,129
Peguerinos,299
Peñalba de Ávila,106
Piedrahíta,1656
Piedralaves,2166
Poveda,33
Poyales del Hoyo,492
Pozanco,59
Pradosegar,118
Puerto Castilla,98
Rasueros,161
Riocabado,125
Riofrío,191
Rivilla de Barajas,56
Salobral,106
Salvadiós,70
San Bartolomé de Béjar,49
San Bartolomé de Corneja,35
San Bartolomé de Pinares,490
Sanchidrián,706
Sanchorreja,79
San Esteban de los Patos,20
San Esteban del Valle,734
San Esteban de Zapardiel,40
San García de Ingelmos,66
San Juan de la Encinilla,70
San Juan de Gredos,226
San Juan de la Nava,427
San Juan del Molinillo,237
San Juan del Olmo,85
San Lorenzo de Tormes,30
San Martín de la Vega del Alberche,153
San Martín del Pimpollar,219
San Miguel de Corneja,72
San Miguel de Serrezuela,107
San Pascual,44
San Pedro del Arroyo,501
Santa Cruz del Valle,306
Santa Cruz de Pinares,173
Santa María del Arroyo,102
Santa María del Berrocal,380
Santa María del Cubillo,320
Santa María de los Caballeros,72
Santa María del Tiétar,552
Santiago del Collado,167
Santiago del Tormes,109
Santo Domingo de las Posadas,70
Santo Tomé de Zabarcos,76
San Vicente de Arévalo,166
La Serrada,136
Serranillos,252
Sigeres,45
Sinlabajos,137
Solana de Ávila,100
Solana de Rioalmar,139
Solosancho,758
Sotalbo,250
Sotillo de la Adrada,4967
El Tiemblo,4548
Tiñosillos,759
Tolbaños,90
Tormellas,35
Tornadizos de Ávila,470
La Torre,216
Tórtoles,38
Umbrías,100
Vadillo de la Sierra,50
Valdecasa,56
Vega de Santa María,86
Velayos,218
Villaflor,99
Villafranca de la Sierra,135
Villanueva de Ávila,227
Villanueva de Gómez,116
Villanueva del Aceral,92
Villanueva del Campillo,101
Villar de Corneja,36
Villarejo del Valle,314
Villatoro,160
Viñegra de Moraña,52
Vita,76
Zapardiel de la Cañada,84
Zapardiel de la Ribera,91
